Rank,University,Lowest Place,#
1,Missouri University of Science and Technology,1st,10
2,University of Texas at Arlington,1st,6
3,Texas A&M University,1st,5
4,University of Kansas,1st,3
5,Cornell University,1st,2
6,Rochester Institute of Technology,1st,2
7,University of Michigan - Ann Arbor,1st,2
8,Auburn University,1st,1
9,Georgia Institute of Technology,1st,1
10,San José State University,1st,1
11,University of Illinois at Urbana-Champaign,1st,1
12,University of Missouri,1st,1
13,University of Wisconsin-Madison,1st,1
14,The University of Akron,2nd,2
15,University of Oklahoma,2nd,2
16,Michigan State University,2nd,1
17,North Carolina State University,2nd,1
18,Oregon State University,2nd,1
19,Pennsylvania State University,2nd,1
20,South Dakota School of Mines and Technology,2nd,1
21,University of California Berkeley,2nd,1
22,University of Cincinnati,2nd,1
23,Virginia Polytechnic Institute and State University,2nd,1
24,Lawrence Technological University,3rd,4
25,University of Maryland,3rd,3
26,Kettering University,3rd,1
27,Purdue University - West Lafayette,3rd,1
28,Rutgers The State University of New Jersey,3rd,1
29,The University of Michigan-Dearborn,3rd,1
30,University of Florida,3rd,1
31,University of Minnesota Twin Cities,3rd,1
32,University of Washington,4th,2
33,California State Polytechnic University - San Luis Obispo,4th,1
34,California State Polytechnic University Pomona,4th,1
35,Colorado State University,4th,1
36,Drexel University,4th,1
37,Oregon Institute of Technology,4th,1
38,Rensselaer Polytechnic Institute,4th,1
39,The Ohio State University,4th,1
40,University of Connecticut,4th,1
41,University of Toledo,4th,1
42,Iowa State University,5th,3
43,California State University Northridge,5th,1
44,University of Nebraska–Lincoln,5th,1
45,Western Washington University,5th,1
46,Kansas State University,6th,1
47,Kennesaw State University,6th,1
48,Louisiana State University,6th,1
49,University of California Los Angeles,6th,1
50,California State University Sacramento,7th,1
51,Clemson University,7th,1
52,State University of New York at Buffalo,7th,1
53,University of California San Diego,7th,1
54,University of Louisville,7th,1
55,University of South Florida,7th,1
56,West Virginia University,7th,1
57,Oklahoma State University - Stillwater,8th,1
58,University of Alabama,8th,1
59,University of Idaho,8th,1
60,University of North Carolina at Charlotte,8th,1
61,Arizona State University,9th,1
62,Dartmouth College,9th,1
63,Oakland University,9th,1
64,University of New Mexico,9th,1
65,University of Pittsburgh,9th,1
66,Villanova University,9th,1
67,Pittsburg State University,10th,1
68,Marquette University,11th,2
69,Cedarville University,11th,1
