Rank,University,Lowest Place,#
1,University of Bath,3rd,1
2,Imperial College London,5th,1
3,University of Nottingham,5th,1
4,University of Strathclyde,6th,1
5,University of Warwick,7th,1
6,Queen's University Belfast,8th,1
7,Coventry University,9th,1
8,University of Surrey,11th,1
9,Oxford Brookes University,12th,1
10,University of Southampton,17th,1
11,Newcastle University,26th,1
12,Brunel University London,N/A,0
13,Heriot-Watt University,N/A,0
14,Kingston University,N/A,0
15,Lancaster  University,N/A,0
16,Liverpool John Moores University,N/A,0
17,Loughborough University,N/A,0
18,Manchester Metropolitan University,N/A,0
19,University of Birmingham,N/A,0
20,University of Bristol,N/A,0
21,University of Glasgow,N/A,0
22,University Of Hertfordshire,N/A,0
23,University of Leicester,N/A,0
24,University of Liverpool,N/A,0
25,University of Oxford,N/A,0
26,University of Sussex,N/A,0
