Rank,University,Lowest Place,#
1,Oxford Brookes University,1st,2
2,University of Southampton,3rd,1
3,University Of Hertfordshire,5th,1
4,University of Surrey,5th,1
5,University of Bath,6th,2
6,Queen's University Belfast,7th,1
7,University of Nottingham,7th,1
8,Imperial College London,9th,1
9,Loughborough University,10th,1
10,University of Strathclyde,10th,1
11,Manchester Metropolitan University,11th,1
12,University of Birmingham,13th,1
13,Heriot-Watt University,18th,1
14,Lancaster  University,23rd,1
15,University of Warwick,24th,1
16,Brunel University London,31st,1
17,Liverpool John Moores University,32nd,1
18,University of Sussex,34th,1
19,Newcastle University,41st,1
20,University of Oxford,55th,1
21,Coventry University,57th,1
22,Kingston University,75th,1
23,University of Leicester,87th,1
24,University of Bristol,96th,1
