Rank,University,Lowest Place,#
1,University of Bath,1st,2
2,University of Strathclyde,1st,1
3,University Of Hertfordshire,2nd,1
4,Brunel University London,3rd,1
5,Oxford Brookes University,3rd,1
6,University of Southampton,4th,1
7,Imperial College London,7th,1
8,University of Nottingham,7th,1
9,Manchester Metropolitan University,9th,1
10,Queen's University Belfast,9th,1
11,Heriot-Watt University,11th,1
12,University of Birmingham,11th,1
13,University of Sussex,17th,1
14,Loughborough University,19th,1
15,University of Warwick,24th,1
16,University of Surrey,28th,1
17,Newcastle University,29th,1
18,Lancaster  University,30th,1
19,Liverpool John Moores University,35th,1
20,University of Oxford,42nd,1
21,University of Bristol,60th,1
22,Coventry University,62nd,1
23,Kingston University,81st,1
24,University of Leicester,85th,1
