Rank,University,Lowest Place,#
1,Oxford Brookes University,1st,1
2,University of Nottingham,1st,1
3,Imperial College London,2nd,1
4,University of Birmingham,2nd,1
5,University of Warwick,2nd,1
6,University of Bath,3rd,1
7,University Of Hertfordshire,3rd,1
8,Heriot-Watt University,5th,1
9,University of Glasgow,6th,1
10,University of Strathclyde,6th,1
11,Brunel University London,8th,1
12,Loughborough University,8th,1
13,University of Surrey,8th,1
14,University of Southampton,11th,1
15,Manchester Metropolitan University,13th,1
16,Queen's University Belfast,13th,1
17,University of Oxford,13th,1
18,University of Sussex,14th,1
19,Kingston University,21st,1
20,Coventry University,27th,1
21,Liverpool John Moores University,28th,1
22,University of Bristol,29th,1
23,University of Liverpool,37th,1
24,Lancaster  University,42nd,1
25,Newcastle University,50th,1
26,University of Leicester,80th,1
