Rank,University,Lowest Place,#
1,University of Bath,2nd,1
2,University of Strathclyde,4th,1
3,Oxford Brookes University,5th,1
4,University Of Hertfordshire,6th,1
5,University of Nottingham,14th,1
6,University of Surrey,21st,1
7,Newcastle University,27th,1
8,Brunel University London,N/A,0
9,Coventry University,N/A,0
10,Heriot-Watt University,N/A,0
11,Imperial College London,N/A,0
12,Kingston University,N/A,0
13,Lancaster  University,N/A,0
14,Liverpool John Moores University,N/A,0
15,Loughborough University,N/A,0
16,Manchester Metropolitan University,N/A,0
17,Queen's University Belfast,N/A,0
18,University of Birmingham,N/A,0
19,University of Bristol,N/A,0
20,University of Leicester,N/A,0
21,University of Oxford,N/A,0
22,University of Southampton,N/A,0
23,University of Sussex,N/A,0
24,University of Warwick,N/A,0
