Rank,University,Points
1,University of Southampton,96.65
2,University of Strathclyde,91.01
3,Oxford Brookes University,86.88
4,University of Bath,82.32
5,University of Birmingham,81.4
6,University Of Hertfordshire,80.72
7,Heriot-Watt University,79.0
8,Queen's University Belfast,71.05
9,University of Sussex,69.1
10,Loughborough University,59.77
11,Manchester Metropolitan University,53.2
12,University of Nottingham,49.56
13,University of Surrey,49.38
14,Imperial College London,48.4
15,University of Warwick,48.3
16,Liverpool John Moores University,43.3
17,Lancaster  University,36.38
18,Coventry University,32.6
19,University of Oxford,32.5
20,Newcastle University,24.0
21,Brunel University London,19.67
22,University of Bristol,16.45
23,Kingston University,12.93
24,University of Leicester,0.3
