Rank,University,Lowest Place,#
1,Escola de Engenharia de São Carlos da Universidade de São Paulo,1st,3
2,Universidade Estadual de Campinas,1st,3
3,Centro Federal de Educação Tecnológica de Minas Gerais,1st,1
4,Centro Universitário da FEI,1st,1
5,Centro Universitário Facens,1st,1
6,Escola Politécnica da Universidade de São Paulo,1st,1
7,Universidade Federal do Rio Grande do Sul,2nd,2
8,Centro integrado de Manufatura e Tecnologia - SENAICIMATEC,2nd,1
9,Universidade Estadual Paulista - Guaratinguetá,2nd,1
10,Universidade Federal de Minas Gerais,3rd,2
11,Universidade Federal de Santa Maria,3rd,1
12,Universidade Federal de Sergipe,3rd,1
13,Instituto Mauá de Tecnologia,4th,2
14,Universidade Federal do Rio de Janeiro,5th,2
15,Escola de Engenharia de Lorena da Universidade de São Paulo,5th,1
16,Universidade Federal de Itajubá - Itajubá,5th,1
17,Universidade Federal de Santa Catarina,5th,1
18,Universidade Federal de São João del Rei,5th,1
19,Universidade Paulista,6th,2
20,Universidade Federal Fluminense - Niterói,6th,1
21,UNESP - Campus de Ilha Solteira,7th,1
22,Universidade Estadual do Oeste do Paraná,7th,1
23,Universidade Federal do Ceará,7th,1
24,Polo Universitario de Volta Redonda - Universidade Federal Fluminense,8th,1
25,Universidade de Brasília,8th,1
26,Universidade Tecnológica Federal do Paraná,8th,1
27,Universidade Federal da Bahia,9th,1
28,Universidade Federal de Itajubá - Itabira,10th,1
29,Universidade Federal de Santa Catarina - Joinville,10th,1
30,Universidade Federal do Paraná,12th,2
31,São Paulo State University - UNESP - Bauru,12th,1
32,Universidade Federal de São Carlos,16th,1
33,Federal University of Paraíba,17th,1
34,Universidade Federal de Viçosa,20th,1
35,Universidade Comunitária Regional de Chapecó,21st,1
36,Universidade Federal De Lavras,21st,1
37,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,24th,1
38,Universidade Federal de Mato Grosso,26th,1
39,Universidade Federal de Campina Grande,27th,1
40,Universidade Federal do Pará - Campus Tucuruí - UFPA,30th,1
41,UniSALESIANO Araçatuba,31st,1
42,Universidade Federal de Uberlândia - UFU,31st,1
43,Universidade Paulista - Campinas - Campus II,N/A,0
44,Universidade Paulista - Sorocaba,N/A,0
