Rank,University,Lowest Place,#
1,Centro Universitário da FEI,1st,5
2,Escola de Engenharia de São Carlos da Universidade de São Paulo,1st,5
3,Universidade Estadual de Campinas,1st,1
4,Centro Federal de Educação Tecnológica de Minas Gerais,2nd,1
5,Centro Universitário Facens,3rd,3
6,Instituto Mauá de Tecnologia,3rd,1
7,Universidade Federal do Rio Grande do Sul,3rd,1
8,Universidade Federal de Santa Maria,4th,2
9,Universidade Federal de Itajubá - Itajubá,4th,1
10,Universidade Federal de Minas Gerais,4th,1
11,Universidade Federal do Rio de Janeiro,4th,1
12,Escola Politécnica da Universidade de São Paulo,5th,3
13,Universidade Federal de São João del Rei,6th,1
14,Universidade Federal do Ceará,6th,1
15,Universidade Federal Fluminense - Niterói,6th,1
16,Universidade Paulista,6th,1
17,UNESP - Campus de Ilha Solteira,7th,1
18,Universidade Comunitária Regional de Chapecó,7th,1
19,Centro integrado de Manufatura e Tecnologia - SENAICIMATEC,8th,1
20,Universidade de Brasília,8th,1
21,Universidade Estadual Paulista - Guaratinguetá,8th,1
22,São Paulo State University - UNESP - Bauru,9th,1
23,Universidade Tecnológica Federal do Paraná,9th,1
24,Universidade Paulista - Sorocaba,10th,1
25,Polo Universitario de Volta Redonda - Universidade Federal Fluminense,11th,1
26,Universidade Federal de Santa Catarina - Joinville,11th,1
27,Universidade Federal de Itajubá - Itabira,12th,1
28,Universidade Federal de Santa Catarina,13th,1
29,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,14th,1
30,Universidade Federal da Bahia,14th,1
31,Universidade Federal do Paraná,14th,1
32,Federal University of Paraíba,16th,1
33,Universidade Federal de São Carlos,20th,1
34,Universidade Federal De Lavras,21st,1
35,Universidade Federal de Sergipe,21st,1
36,Universidade Estadual do Oeste do Paraná,23rd,1
37,Universidade Federal de Campina Grande,24th,1
38,Escola de Engenharia de Lorena da Universidade de São Paulo,27th,2
39,UniSALESIANO Araçatuba,28th,1
40,Universidade Paulista - Campinas - Campus II,32nd,1
41,Universidade Federal de Mato Grosso,N/A,0
42,Universidade Federal de Uberlândia - UFU,N/A,0
43,Universidade Federal de Viçosa,N/A,0
44,Universidade Federal do Pará - Campus Tucuruí - UFPA,N/A,0
