Rank,University,Lowest Place,#
1,Centro Universitário da FEI,1st,4
2,Centro Universitário Facens,1st,4
3,Escola de Engenharia de São Carlos da Universidade de São Paulo,1st,2
4,Universidade Estadual de Campinas,1st,2
5,Universidade Federal do Rio de Janeiro,1st,1
6,Centro Federal de Educação Tecnológica de Minas Gerais,2nd,2
7,Universidade Federal do Rio Grande do Sul,2nd,1
8,Escola Politécnica da Universidade de São Paulo,3rd,1
9,Instituto Mauá de Tecnologia,3rd,1
10,Polo Universitario de Volta Redonda - Universidade Federal Fluminense,3rd,1
11,Universidade Estadual Paulista - Guaratinguetá,3rd,1
12,Universidade Federal de Minas Gerais,3rd,1
13,Universidade Federal Fluminense - Niterói,4th,1
14,Universidade Paulista,4th,1
15,UNESP - Campus de Ilha Solteira,5th,1
16,Universidade Federal de Santa Maria,5th,1
17,Universidade Tecnológica Federal do Paraná,5th,1
18,Universidade Federal de Santa Catarina,6th,1
19,Universidade Federal do Ceará,6th,1
20,Universidade Federal do Paraná,6th,1
21,Universidade Federal de Itajubá - Itajubá,7th,1
22,Universidade Federal de Santa Catarina - Joinville,8th,2
23,Centro integrado de Manufatura e Tecnologia - SENAICIMATEC,9th,2
24,Escola de Engenharia de Lorena da Universidade de São Paulo,9th,1
25,São Paulo State University - UNESP - Bauru,9th,1
26,Universidade Federal de São João del Rei,11th,1
27,Universidade de Brasília,12th,1
28,Universidade Federal de São Carlos,12th,1
29,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,13th,1
30,Universidade Federal de Sergipe,13th,1
31,Universidade Federal da Bahia,14th,1
32,Federal University of Paraíba,15th,1
33,Universidade Federal de Campina Grande,17th,1
34,Universidade Federal De Lavras,18th,1
35,UniSALESIANO Araçatuba,20th,1
36,Universidade Federal de Itajubá - Itabira,20th,1
37,Universidade Comunitária Regional de Chapecó,22nd,1
38,Universidade Federal de Viçosa,34th,1
39,Universidade Federal do Pará - Campus Tucuruí - UFPA,36th,1
40,Universidade Estadual do Oeste do Paraná,N/A,0
41,Universidade Federal de Mato Grosso,N/A,0
42,Universidade Federal de Uberlândia - UFU,N/A,0
43,Universidade Paulista - Campinas - Campus II,N/A,0
44,Universidade Paulista - Sorocaba,N/A,0
