Rank,University,Lowest Place,#
1,Centro Universitário da FEI,1st,7
2,Centro Universitário Facens,1st,2
3,Centro Federal de Educação Tecnológica de Minas Gerais,1st,1
4,Escola de Engenharia de São Carlos da Universidade de São Paulo,1st,1
5,Instituto Mauá de Tecnologia,2nd,1
6,Universidade Federal de Minas Gerais,3rd,2
7,Universidade Paulista,3rd,2
8,Universidade Estadual de Campinas,3rd,1
9,Universidade Federal do Rio de Janeiro,3rd,1
10,Escola Politécnica da Universidade de São Paulo,4th,1
11,Universidade Paulista - Sorocaba,4th,1
12,Universidade Federal de Itajubá - Itabira,5th,1
13,Universidade Federal de Santa Maria,5th,1
14,Universidade Federal do Ceará,5th,1
15,Universidade Estadual Paulista - Guaratinguetá,6th,2
16,Universidade Federal Fluminense - Niterói,6th,2
17,Universidade de Brasília,6th,1
18,Universidade Federal de Itajubá - Itajubá,6th,1
19,Universidade Federal de São João del Rei,7th,1
20,Universidade Federal do Rio Grande do Sul,8th,1
21,Universidade Federal de Santa Catarina,9th,1
22,Polo Universitario de Volta Redonda - Universidade Federal Fluminense,12th,2
23,UniSALESIANO Araçatuba,12th,1
24,Universidade Federal da Bahia,12th,1
25,Federal University of Paraíba,13th,1
26,UNESP - Campus de Ilha Solteira,14th,1
27,São Paulo State University - UNESP - Bauru,19th,1
28,Universidade Comunitária Regional de Chapecó,20th,1
29,Universidade Federal de Campina Grande,20th,1
30,Universidade Federal do Paraná,20th,1
31,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,N/A,0
32,Centro integrado de Manufatura e Tecnologia - SENAICIMATEC,N/A,0
33,Escola de Engenharia de Lorena da Universidade de São Paulo,N/A,0
34,Universidade Estadual do Oeste do Paraná,N/A,0
35,Universidade Federal De Lavras,N/A,0
36,Universidade Federal de Mato Grosso,N/A,0
37,Universidade Federal de Santa Catarina - Joinville,N/A,0
38,Universidade Federal de Sergipe,N/A,0
39,Universidade Federal de São Carlos,N/A,0
40,Universidade Federal de Uberlândia - UFU,N/A,0
41,Universidade Federal de Viçosa,N/A,0
42,Universidade Federal do Pará - Campus Tucuruí - UFPA,N/A,0
43,Universidade Paulista - Campinas - Campus II,N/A,0
44,Universidade Tecnológica Federal do Paraná,N/A,0
