date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2016,Canada,0.90,25,2.,4.,14.,11.,6.,11.,12.,3.,3.,0,807,40.
2016,Michigan,0.98,114,72.,80.,95.,74.,11.,37.,50.,79.,-,0,316,145.
2014,Michigan,0.97,107,6.,34.,61.,6.,19.,6.,19.,6.,21.,0,753,14.
2013,Michigan,0.97,104,5.,61.,10.,6.,6.,12.,15.,4.,14.,0,800,24.
2012,Michigan,0.98,104,17.,46.,22.,11.,26.,50.,38.,18.,30.,0,562,64.
2011,Michigan,0.97,97,35.,46.,21.,15.,28.,7.,41.,40.,-,0,413,81.
2010,Michigan,0.96,101,17.,52.,80.,4.,14.,21.,29.,18.,23.,0,605,32.
2009,Michigan,0.97,90,12.,32.,5.,12.,12.,28.,44.,12.,-,0,620,28.
2008,Michigan,1.00,104,24.,86.,69.,61.,29.,38.,44.,22.,-,0,528,32.
2007,Michigan,0.99,105,14.,69.,48.,38.,41.,38.,33.,7.,-,0,669,17.
2006,Michigan,0.99,118,14.,71.,42.,16.,27.,13.,13.,18.,-,0,692,29.
2005,Michigan,0.99,114,24.,64.,47.,43.,60.,55.,19.,26.,-,0,609,52.
2004,Michigan,1.00,129,106.,121.,98.,21.,-,-,-,-,-,0,184,139.
2002,Michigan,0.99,121,48.,64.,44.,46.,14.,31.,54.,-,-,0,302,68.
1999,Michigan,1.00,89,70.,39.,30.,75.,-,-,-,-,-,0,154,75.
1998,Michigan,1.00,81,56.,67.,70.,19.,-,-,52.,41.,-,0,270,56.
1996,Michigan,0.99,68,31.,27.,23.,10.,-,7.,32.,-,-,0,300,56.
1995,Michigan,0.99,69,69.,29.,-,-,-,-,-,-,-,0,27,70.
1994,Michigan,0.96,58,38.,17.,3.,29.,25.,-,-,22.,13.,0,301,37.
