date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Spain,0.85,15,3.,3.,2.,1.,1.,3.,1.,-,-,0,554,66.
2022,Germany,0.90,26,5.,11.,4.,2.,7.,1.,6.,-,-,0,482,46.
2022,Austria,0.95,24,3.,13.,4.,3.,15.,3.,8.,4.,4.,0,717,7.
2021,Germany,0.93,21,2.,16.,10.,2.,4.,4.,2.,4.,4.,0,863,3.
2021,Spain,0.85,17,1.,2.,10.,1.,2.,1.,1.,1.,3.,0,928,4.
2021,Austria,0.93,27,2.,14.,8.,2.,2.,4.,2.,4.,2.,0,872,11.
2021,Netherlands,0.91,26,7.,4.,5.,1.,8.,7.,6.,-,-,0,486,31.
2019,Spain,0.94,28,2.,5.,9.,4.,4.,5.,6.,2.,5.,0,860,3.
2019,Germany,0.97,60,5.,20.,32.,21.,20.,9.,4.,4.,10.,0,763,18.
2019,Austria,0.95,34,5.,17.,20.,16.,2.,12.,3.,3.,4.,-10,714,29.
2019,East,0.93,25,8.,9.,5.,6.,11.,6.,1.,-,-,0,485,46.
2018,Spain,0.96,37,5.,1.,22.,11.,3.,8.,8.,4.,9.,0,757,10.
2018,Germany,0.97,57,10.,9.,27.,26.,3.,11.,8.,6.,19.,-5,740,20.
2018,Michigan,0.97,114,3.,81.,33.,7.,33.,3.,5.,1.,16.,0,790,38.
2017,Spain,0.94,31,8.,17.,23.,5.,12.,11.,7.,8.,-,0,572,110.
2017,Germany,0.97,64,25.,34.,42.,14.,2.,33.,26.,-,-,0,371,170.
2016,Spain,0.97,36,16.,14.,17.,5.,10.,15.,7.,-,-,0,415,161.
2016,Germany,0.99,73,37.,22.,19.,24.,30.,-,16.,-,-,0,328,163.
2015,Spain,0.90,28,7.,17.,13.,7.,7.,6.,9.,6.,11.,0,603,119.
2015,Germany,0.97,71,14.,38.,23.,39.,14.,35.,12.,13.,26.,0,515,194.
2014,Spain,0.91,25,18.,17.,19.,17.,15.,14.,13.,-,-,0,221,368.
2014,Germany,0.98,74,65.,65.,50.,58.,56.,-,-,-,-,0,138,420.
