date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Japan,0.96,87,44.,18.,20.,30.,43.,32.,33.,40.,-,0,354,134.
2018,Japan,0.95,86,17.,8.,60.,47.,43.,50.,28.,6.,20.,0,627,79.
2017,Japan,0.92,83,29.,3.,42.,37.,41.,43.,50.,28.,45.,-20,484,169.
2016,Japan,0.94,83,43.,11.,30.,49.,-,-,35.,37.,-,0,244,211.
2015,Japan,0.95,75,18.,12.,52.,18.,29.,-,1.,15.,30.,0,522,110.
2014,Japan,0.93,75,30.,8.,6.,28.,22.,23.,34.,41.,-,0,372,186.
2013,Japan,0.93,69,20.,7.,25.,46.,21.,31.,43.,26.,29.,0,485,184.
2012,Japan,0.94,68,47.,29.,29.,13.,-,-,45.,-,-,0,178,364.
2010,Japan,0.93,63,45.,6.,35.,12.,-,-,-,-,-,0,207,246.
2009,Japan,0.92,58,28.,12.,22.,6.,37.,23.,15.,-,-,0,331,173.
2008,Japan,0.91,62,17.,33.,50.,17.,18.,-,35.,9.,-,0,437,158.
2007,Japan,0.92,58,31.,25.,11.,27.,-,-,19.,-,-,0,303,219.
2006,Japan,0.90,50,39.,43.,35.,16.,-,-,-,-,-,0,182,254.
2005,Japan,0.85,39,29.,19.,29.,32.,22.,15.,24.,-,-,0,198,219.
