date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2018,Germany,0.97,57,31.,11.,4.,35.,11.,17.,42.,-,-,0,332,191.
2018,Austria,0.94,30,10.,4.,17.,24.,12.,7.,3.,-,-,0,381,160.
2017,Germany,0.97,64,32.,6.,56.,33.,5.,29.,30.,-,-,10,348,152.
2017,Czech Republic,0.92,33,6.,6.,7.,20.,8.,13.,4.,13.,4.,0,672,133.
2016,Spain,0.97,36,22.,20.,7.,28.,21.,22.,20.,-,-,0,249,220.
2016,Germany,0.99,73,54.,36.,59.,53.,35.,34.,49.,-,-,-15,229,175.
2015,Czech Republic,0.88,22,6.,19.,7.,7.,11.,7.,12.,8.,6.,0,652,83.
2015,Hungary,0.90,37,18.,32.,32.,25.,15.,15.,23.,13.,20.,0,505,129.
2015,Germany,0.97,71,33.,67.,64.,62.,36.,36.,31.,20.,12.,0,346,145.
2014,Hungary,0.90,38,13.,16.,24.,19.,11.,25.,16.,11.,15.,0,625,107.
2014,Germany,0.98,74,37.,11.,43.,20.,21.,31.,44.,27.,-,0,342,172.
2013,Spain,0.85,15,6.,15.,14.,4.,7.,9.,7.,5.,3.,0,556,146.
2013,Germany,0.97,74,36.,48.,47.,42.,45.,22.,40.,34.,29.,0,404,177.
2012,Spain,0.85,16,9.,11.,8.,7.,7.,4.,10.,9.,-,0,427,184.
2012,Hungary,0.91,39,21.,20.,27.,14.,19.,25.,23.,-,-,0,410,212.
2012,Germany,0.98,76,63.,26.,63.,44.,-,-,33.,-,-,0,209,285.
2010,Germany,0.97,75,51.,42.,55.,47.,46.,37.,42.,-,-,0,298,181.
2009,Germany,0.98,77,37.,64.,46.,46.,56.,59.,56.,24.,22.,0,398,138.
2008,Germany,0.94,77,50.,47.,44.,30.,52.,-,43.,-,-,0,262,155.
2007,Germany,0.95,53,14.,27.,36.,21.,16.,8.,36.,12.,15.,0,549,64.
