date,event,C,teams,place,cost,cost points,bp,bp points,ed,ed points,acc,acc points,sp,sp points,autox,autox points,endu,endu points,fuel,fuel points,pen,total,wrl
2013.08,Austria,0.97,39,22.,18.,60.18,8.,67.5,14.,109.0,22.,28.62,18.,3.5,29.,51.44,19.,25.0,-,0,-5,340,168.
2013.08,Hungary,0.92,37,17.,22.,69.3,13.,64.9,6.,135.0,21.,42.3,14.,33.3,12.,115.2,-,0,-,0,0,460,149.
2013.08,Germany,0.97,74,33.,59.,42.5,48.,44.4,36.,90.0,38.,52.7,54.,3.5,43.,26.7,28.,81.3,9.,81.6,0,423,153.
2012.08,Hungary,0.91,39,16.,1.,96.78,14.,62.25,5.,142.0,26.,41.66,21.,32.97,8.,117.77,-,0,-,0,0,493,143.
2012.08,Germany,0.98,76,53.,50.,55.64,43.,46.51,63.,50.0,34.,45.72,33.,41.42,45.,25.38,-,0,-,0,0,265,170.
2012.07,Austria,0.95,37,16.,33.,36.5,24.,40.6,16.,100.0,11.,50.7,24.,23.1,23.,34.6,15.,128.3,9.,67.8,0,482,123.
2011.09,Italy,0.92,49,29.,25.,71.0,3.,73.0,5.,136.0,27.,47.8,-,0,35.,7.5,36.,5.0,-,0,0,341,126.
2011.08,Hungary,0.89,28,10.,12.,70.15,11.,57.07,1.,134.21,18.,47.51,21.,26.56,17.,37.47,12.,127.77,4.,96.04,0,597,84.
2011.08,Germany,0.96,74,43.,51.,52.18,18.,62.35,51.,55.0,40.,42.96,6.,67.24,43.,4.5,-,0,-,0,-5,279,109.
2009.09,Italy,0.92,36,7.,10.,79.59,2.,73.37,3.,133.0,4.,65.76,10.,37.5,18.,70.65,10.,262.06,-,0,0,722,37.
2009.08,Germany,0.98,77,36.,23.,76.37,11.,66.49,34.,80.0,38.,49.72,23.,50.51,6.,81.54,-,0,-,0,0,405,69.
2009.07,United Kingdom,0.96,78,8.,26.,66.8,16.,59.4,4.,143.0,23.,58.3,30.,24.9,27.,63.0,6.,286.0,-,0,-7,694,27.
2008.09,Italy,0.92,31,11.,10.,70.9,4.,67.5,5.,125.0,6.,64.4,8.,37.6,5.,103.7,-,0,-,0,0,469,54.
2008.08,Germany,0.94,77,4.,7.,95.18,6.,69.68,17.,100.0,12.,60.32,7.,45.33,6.,125.84,7.,325.64,16.,16.53,0,839,35.
2008.07,United Kingdom,0.95,72,30.,53.,51.0,9.,58.08,51.,51.0,22.,42.79,24.,24.7,16.,71.5,-,0,-,0,0,299,186.
