date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Japan,0.96,87,2.,29.,2.,4.,6.,5.,2.,2.,18.,0,788,7.
2018,Japan,0.95,86,13.,11.,13.,11.,55.,9.,8.,22.,23.,0,673,18.
2017,Japan,0.92,83,6.,15.,11.,31.,7.,5.,7.,6.,21.,0,738,14.
2016,Japan,0.94,83,2.,25.,4.,5.,13.,11.,5.,5.,12.,0,753,20.
2015,Japan,0.95,75,16.,64.,6.,4.,7.,16.,1.,8.,19.,0,553,42.
2014,Japan,0.93,75,8.,12.,12.,7.,-,-,9.,6.,7.,-10,671,34.
2013,Japan,0.93,69,6.,48.,4.,8.,10.,18.,7.,5.,18.,0,708,33.
2012,Japan,0.94,68,21.,8.,4.,4.,2.,8.,3.,45.,-,0,497,34.
2011,Japan,0.95,65,2.,4.,6.,5.,2.,6.,4.,2.,14.,0,878,2.
2010,Japan,0.93,63,3.,10.,3.,2.,7.,5.,1.,6.,18.,0,827,6.
2009,Japan,0.92,58,3.,2.,3.,7.,2.,6.,5.,4.,-,0,811,11.
2008,Japan,0.91,62,4.,5.,3.,7.,5.,7.,10.,5.,-,0,716,42.
2007,Japan,0.92,58,20.,20.,1.,7.,10.,10.,21.,-,-,0,423,82.
2006,Japan,0.90,50,12.,24.,11.,18.,3.,13.,18.,13.,-,0,598,50.
2005,Japan,0.85,39,8.,22.,10.,16.,5.,17.,17.,7.,-,0,677,28.
