date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Michigan,0.93,89,35.,16.,18.,12.,11.,41.,18.,-,-,0,448,144.
2019,Michigan,0.97,108,43.,92.,31.,8.,16.,31.,42.,64.,39.,0,458,121.
2018,Michigan,0.97,114,38.,85.,31.,17.,9.,15.,13.,87.,-,0,408,101.
2017,Michigan,0.98,109,23.,91.,63.,18.,15.,22.,23.,30.,20.,0,590,70.
2016,Michigan,0.98,114,40.,44.,58.,39.,10.,32.,35.,54.,27.,0,512,111.
2015,Lincoln,0.94,64,11.,20.,52.,35.,18.,17.,32.,11.,14.,0,608,130.
2014,Lincoln,0.94,66,51.,58.,13.,32.,-,-,41.,36.,-,-50,240,298.
2013,Lincoln,0.93,60,46.,32.,24.,26.,47.,45.,43.,34.,30.,-10,305,288.
2012,Lincoln,0.94,65,38.,56.,14.,38.,37.,38.,40.,21.,-,0,246,344.
2011,California,0.95,60,54.,49.,47.,48.,-,-,-,-,-,0,109,409.
2008,California,0.93,59,30.,5.,50.,31.,13.,35.,26.,-,-,0,298,194.
2007,California,0.95,59,37.,36.,29.,12.,37.,34.,39.,-,-,0,292,168.
2006,California,0.97,49,42.,15.,28.,27.,-,-,-,-,-,0,176,129.
2005,Michigan,0.99,114,23.,68.,85.,43.,49.,23.,26.,20.,-,0,611,48.
2004,Michigan,1.00,129,60.,48.,50.,79.,30.,52.,34.,-,-,0,335,104.
2003,Michigan,1.00,111,65.,24.,29.,43.,59.,56.,68.,-,-,0,272,108.
2002,Michigan,0.99,121,90.,55.,37.,76.,-,-,-,-,-,0,184,98.
2000,Michigan,0.99,94,35.,29.,10.,49.,18.,-,27.,-,-,0,325,46.
1999,Michigan,1.00,89,44.,3.,37.,14.,-,13.,-,-,-,0,301,52.
1998,Michigan,1.00,81,50.,4.,33.,12.,-,54.,45.,-,-,0,327,51.
1997,Michigan,0.98,66,33.,3.,29.,7.,-,-,-,-,-,0,267,28.
1995,Michigan,0.99,69,8.,21.,13.,11.,19.,28.,20.,9.,29.,0,668,13.
1994,Michigan,0.96,58,29.,10.,18.,37.,33.,35.,17.,-,11.,0,367,28.
