date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2018,Japan,0.95,86,44.,48.,76.,68.,63.,46.,44.,31.,9.,0,401,199.
2017,Japan,0.92,83,45.,58.,60.,59.,55.,62.,47.,37.,13.,0,346,242.
2016,Japan,0.94,83,36.,64.,66.,78.,41.,-,46.,22.,22.,-20,299,329.
2014,Japan,0.93,75,74.,-,-,72.,-,-,-,-,-,0,6,497.
2013,Japan,0.93,69,63.,49.,32.,64.,-,-,-,-,-,0,78,470.
2012,Japan,0.94,68,63.,51.,65.,64.,-,-,45.,-,-,0,58,395.
2010,Japan,0.93,63,26.,43.,60.,54.,-,-,39.,18.,15.,0,412,240.
2009,Japan,0.92,58,50.,58.,35.,46.,29.,30.,39.,-,-,0,103,402.
2008,Japan,0.91,62,53.,-,50.,49.,30.,25.,35.,-,-,0,122,381.
2006,Japan,0.90,50,49.,40.,48.,-,-,-,-,-,-,0,55,310.
2004,Japan,0.86,27,22.,24.,20.,21.,-,-,15.,-,-,0,120,226.
