date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Michigan,0.93,89,2.,37.,28.,7.,3.,12.,9.,2.,1.,0,838,12.
2019,Michigan,0.97,108,20.,28.,10.,45.,5.,47.,42.,15.,28.,0,593,54.
2018,Michigan,0.97,114,17.,8.,22.,17.,8.,22.,62.,20.,24.,0,550,72.
2017,Michigan,0.98,109,24.,6.,22.,51.,10.,42.,48.,20.,42.,0,577,76.
2016,Michigan,0.98,114,62.,5.,15.,12.,3.,45.,38.,79.,-,0,406,132.
2015,Michigan,0.95,108,18.,7.,30.,18.,7.,32.,37.,26.,7.,0,606,110.
2014,Michigan,0.97,107,52.,4.,60.,74.,49.,60.,41.,53.,-,0,320,228.
2013,Michigan,0.97,104,72.,23.,71.,39.,-,-,66.,75.,-,0,244,238.
2012,Michigan,0.98,104,39.,25.,45.,44.,21.,14.,49.,41.,40.,0,416,152.
2011,Michigan,0.97,97,64.,31.,58.,63.,35.,-,57.,51.,-,0,259,182.
2010,Michigan,0.96,101,28.,50.,66.,41.,36.,62.,47.,31.,1.,0,505,123.
2009,Michigan,0.97,90,62.,70.,-,76.,-,-,-,24.,-,0,235,238.
