date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2017,Brasil,0.85,40,5.,23.,21.,7.,7.,11.,10.,2.,-,-25,472,236.
2016,Brasil,0.85,31,14.,17.,9.,4.,-,-,12.,-,-,0,197,291.
2015,Brasil,0.85,31,8.,7.,3.,24.,-,-,7.,10.,-,0,335,219.
2015,Lincoln,0.94,64,43.,44.,36.,21.,20.,38.,-,46.,-,0,269,193.
2014,Brasil,0.85,26,3.,13.,15.,13.,9.,7.,6.,2.,2.,0,649,135.
2013,Brasil,0.85,24,10.,5.,16.,4.,-,-,-,10.,-,0,222,221.
2013,Lincoln,0.93,60,27.,60.,10.,39.,24.,36.,24.,19.,18.,-50,458,146.
2012,Brasil,0.85,26,2.,9.,11.,7.,5.,4.,5.,3.,1.,0,594,147.
2011,Brasil,0.85,21,8.,9.,12.,5.,6.,7.,7.,5.,20.,0,345,290.
2010,Brasil,0.85,17,13.,11.,-,9.,-,-,-,-,-,0,108,433.
