date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2021,Italy,0.89,17,12.,8.,9.,6.,14.,14.,15.,10.,10.,0,353,240.
2021,Germany,0.93,21,14.,11.,15.,16.,12.,13.,17.,14.,13.,-20,326,250.
2021,Austria,0.93,27,10.,10.,13.,22.,12.,9.,14.,10.,9.,0,422,257.
2021,Netherlands,0.91,26,18.,17.,20.,19.,15.,14.,15.,-,-,0,190,337.
2019,Spain,0.94,28,19.,21.,3.,14.,20.,17.,15.,-,-,0,233,310.
2019,Germany,0.97,60,21.,51.,25.,54.,34.,22.,32.,14.,17.,0,435,280.
2019,Austria,0.95,34,28.,29.,2.,27.,-,-,20.,-,-,0,190,409.
2018,Spain,0.96,37,25.,27.,1.,23.,-,-,-,13.,-,0,190,427.
2018,Germany,0.97,57,55.,54.,13.,52.,-,-,-,-,-,-30,97,429.
2018,Austria,0.94,30,30.,30.,10.,29.,-,-,-,-,-,-72,59,356.
2017,Spain,0.94,31,16.,8.,20.,10.,17.,19.,16.,-,-,0,308,213.
2017,Austria,0.97,31,26.,28.,24.,28.,23.,13.,14.,-,-,-10,237,183.
2016,Spain,0.97,36,10.,21.,11.,17.,9.,13.,13.,10.,12.,0,490,116.
2016,Germany,0.99,73,23.,54.,7.,53.,18.,25.,37.,20.,20.,0,479,115.
2016,Austria,0.97,21,10.,15.,12.,19.,8.,16.,16.,11.,9.,0,544,128.
2015,Italy,0.87,43,16.,21.,25.,7.,19.,8.,7.,24.,-,0,435,168.
2015,Spain,0.90,28,8.,19.,6.,13.,6.,7.,5.,9.,9.,0,509,158.
2015,Germany,0.97,71,47.,66.,58.,34.,39.,16.,40.,-,-,0,227,183.
2014,Spain,0.91,25,5.,13.,16.,10.,4.,7.,9.,6.,4.,0,580,103.
2014,Austria,0.91,19,12.,13.,17.,17.,11.,10.,12.,9.,-,0,304,134.
2014,Germany,0.98,74,17.,51.,6.,32.,14.,15.,37.,17.,11.,0,533,60.
2013,Italy,0.94,42,9.,1.,14.,5.,2.,10.,9.,7.,10.,-50,601,66.
2013,Spain,0.85,15,4.,1.,1.,7.,5.,7.,2.,4.,-,0,619,83.
2012,Italy,0.90,37,6.,27.,10.,7.,15.,13.,15.,8.,-,0,568,95.
2012,Spain,0.85,16,5.,8.,2.,6.,11.,7.,7.,5.,-,0,622,126.
2012,Germany,0.98,76,59.,7.,46.,51.,49.,-,57.,-,-,0,232,195.
2011,Italy,0.92,49,11.,37.,19.,33.,16.,23.,26.,10.,12.,0,522,114.
2011,Germany,0.96,74,35.,39.,16.,28.,27.,29.,35.,-,-,0,321,191.
2008,Germany,0.94,77,45.,29.,53.,44.,46.,52.,54.,32.,2.,0,342,169.
