date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Alpe Adria,0.85,14,3.,7.,2.,3.,9.,5.,5.,4.,1.,0,750,50.
2022,East,0.91,19,9.,5.,7.,6.,9.,6.,7.,-,-,0,416,96.
2022,Czech Republic,0.85,18,2.,4.,12.,1.,5.,2.,3.,2.,3.,0,848,69.
2021,East,0.91,23,12.,12.,7.,13.,11.,6.,7.,-,-,0,413,166.
2021,Czech Republic,0.90,19,4.,2.,2.,15.,9.,2.,8.,5.,2.,0,705,153.
2021,Netherlands,0.91,26,15.,23.,9.,11.,11.,13.,14.,-,-,5,269,343.
2019,Czech Republic,0.88,33,27.,26.,6.,20.,22.,26.,23.,-,-,0,260,396.
2019,East,0.93,25,25.,25.,16.,25.,-,17.,16.,-,-,0,143,437.
2019,Netherlands,0.87,28,17.,17.,17.,16.,16.,-,-,-,-,0,179,428.
2012,Hungary,0.91,39,7.,18.,3.,7.,1.,16.,1.,13.,11.,0,744,26.
2012,Germany,0.98,76,17.,12.,8.,10.,14.,12.,19.,21.,27.,0,669,31.
2011,Hungary,0.89,28,6.,5.,11.,8.,19.,16.,3.,3.,9.,0,836,42.
2011,United Kingdom,0.95,77,29.,20.,11.,45.,26.,14.,9.,38.,-,0,366,162.
2010,United Kingdom,0.97,72,20.,50.,16.,15.,20.,34.,31.,16.,11.,-43,514,134.
2009,Germany,0.98,77,58.,66.,46.,59.,44.,38.,47.,-,17.,-80,236,209.
2008,Italy,0.92,31,16.,22.,9.,25.,16.,20.,22.,12.,-,0,375,173.
2008,Germany,0.94,77,49.,49.,52.,44.,37.,45.,41.,-,-,0,289,201.
