date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2018,Australia,0.91,18,12.,12.,9.,11.,3.,9.,8.,16.,-,0,460,112.
2017,Australia,0.88,16,7.,12.,13.,11.,-,-,6.,6.,6.,0,482,89.
2016,Australia,0.90,32,9.,20.,11.,12.,9.,12.,8.,1.,-,0,727,45.
2015,Australia,0.92,29,11.,13.,23.,17.,8.,10.,9.,12.,13.,0,583,85.
2014,Australia,0.89,22,12.,17.,7.,15.,8.,14.,10.,12.,-,0,459,128.
2013,Australia,0.87,23,6.,5.,8.,6.,4.,7.,12.,8.,-,0,609,87.
2012,Australia,0.88,21,13.,11.,10.,13.,11.,16.,13.,13.,-,0,473,187.
2010,Australia,0.90,27,22.,3.,15.,24.,-,-,-,-,-,0,185,363.
2009,Australia,0.89,21,19.,20.,18.,17.,-,-,10.,-,-,0,122,392.
2006,Australia,0.93,27,19.,25.,13.,20.,15.,13.,15.,-,-,0,208,234.
