date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Lincoln,0.92,76,20.,43.,11.,35.,7.,12.,8.,35.,4.,0,520,85.
2018,Lincoln,0.93,66,19.,6.,62.,6.,22.,21.,25.,23.,3.,-20,499,62.
2017,Lincoln,0.92,70,7.,22.,5.,7.,31.,41.,5.,5.,3.,0,744,37.
2016,Lincoln,0.92,69,12.,19.,31.,15.,28.,12.,29.,12.,4.,0,639,98.
2015,Lincoln,0.94,64,36.,18.,49.,16.,40.,14.,26.,-,-,0,362,174.
2014,Lincoln,0.94,66,39.,9.,7.,16.,17.,28.,48.,52.,-,0,384,129.
2013,Lincoln,0.93,60,17.,2.,40.,59.,28.,11.,28.,15.,10.,0,639,95.
2011,California,0.95,60,48.,41.,50.,18.,-,-,-,-,-,0,168,225.
2010,California,0.94,56,14.,23.,15.,16.,17.,25.,26.,15.,16.,0,496,99.
2009,California,0.93,45,24.,23.,16.,32.,8.,18.,15.,-,-,0,358,93.
2008,California,0.93,59,12.,24.,34.,17.,6.,19.,11.,12.,-,0,600,41.
2007,California,0.95,59,7.,20.,28.,12.,3.,1.,7.,9.,-,0,758,48.
2006,California,0.97,49,23.,22.,26.,27.,27.,27.,19.,22.,-,0,407,91.
2005,United Kingdom,0.93,57,31.,32.,19.,28.,28.,31.,35.,-,-,0,313,61.
2004,Michigan,1.00,129,14.,5.,12.,48.,8.,14.,9.,17.,-,0,684,8.
2003,Michigan,1.00,111,10.,22.,30.,15.,28.,51.,23.,10.,-,0,650,9.
2000,Michigan,0.99,94,20.,56.,35.,20.,35.,-,9.,-,-,0,394,25.
1999,Michigan,1.00,89,11.,33.,40.,18.,12.,9.,29.,16.,-,0,615,20.
1998,Michigan,1.00,81,22.,58.,50.,38.,26.,26.,32.,19.,-,0,544,29.
1997,Michigan,0.98,66,32.,35.,51.,21.,12.,20.,36.,-,-,0,272,38.
1996,Michigan,0.99,68,21.,54.,6.,11.,2.,8.,22.,30.,-,0,395,29.
1995,Michigan,0.99,69,32.,60.,18.,29.,9.,26.,24.,42.,6.,0,341,37.
