date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Michigan,0.93,89,27.,23.,32.,12.,10.,9.,1.,51.,-,0,494,44.
2019,Lincoln,0.92,76,10.,33.,23.,21.,17.,25.,18.,8.,9.,0,685,10.
2018,Lincoln,0.93,66,1.,38.,5.,8.,26.,9.,2.,1.,4.,0,850,6.
2017,Lincoln,0.92,70,1.,33.,44.,2.,5.,4.,3.,1.,1.,0,916,17.
2016,Lincoln,0.92,69,25.,49.,33.,30.,16.,6.,7.,-,-,0,422,96.
2015,Lincoln,0.94,64,14.,39.,12.,7.,2.,9.,2.,21.,21.,0,575,38.
2014,Lincoln,0.94,66,2.,45.,25.,8.,37.,6.,6.,1.,9.,0,835,19.
2013,Lincoln,0.93,60,24.,31.,16.,6.,18.,8.,7.,41.,-,0,480,63.
2012,Lincoln,0.94,65,5.,19.,36.,8.,13.,3.,5.,2.,5.,0,806,9.
2008,Michigan,1.00,104,40.,96.,31.,37.,46.,11.,13.,-,-,0,414,33.
2007,California,0.95,59,1.,36.,1.,7.,9.,5.,1.,3.,-,0,843,9.
2006,California,0.97,49,1.,16.,3.,7.,13.,1.,4.,1.,-,0,858,15.
2006,Michigan,0.99,118,44.,35.,6.,16.,-,-,1.,-,-,0,390,54.
2005,Michigan,0.99,114,33.,73.,4.,14.,1.,3.,1.,-,-,0,517,20.
2004,Michigan,1.00,129,2.,65.,10.,4.,5.,3.,4.,6.,-,0,845,9.
2003,Michigan,1.00,111,26.,57.,5.,15.,29.,22.,3.,-,-,0,455,38.
2002,Michigan,0.99,121,41.,28.,6.,18.,8.,20.,58.,-,-,0,353,21.
2001,Michigan,1.00,108,5.,35.,23.,5.,13.,56.,13.,3.,-,0,765,2.
2000,Michigan,0.99,94,1.,7.,12.,13.,9.,-,1.,1.,-,0,842,1.
1999,Michigan,1.00,89,14.,86.,4.,46.,19.,6.,4.,9.,-,0,586,13.
