date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Lincoln,0.92,76,11.,52.,7.,15.,24.,27.,16.,4.,27.,-10,679,41.
2018,Lincoln,0.93,66,10.,28.,7.,11.,15.,29.,23.,9.,18.,0,616,52.
2017,Lincoln,0.92,70,17.,56.,37.,41.,32.,25.,18.,10.,16.,0,610,66.
2013,Michigan,0.97,104,17.,4.,26.,39.,48.,48.,35.,16.,21.,0,609,98.
2012,Michigan,0.98,104,71.,72.,50.,28.,-,-,37.,69.,-,0,235,162.
2011,California,0.95,60,27.,9.,8.,18.,5.,23.,14.,35.,-,0,410,65.
2010,Michigan,0.96,101,11.,44.,11.,15.,38.,27.,13.,8.,38.,0,677,18.
2009,California,0.93,45,6.,29.,7.,5.,13.,19.,8.,6.,-,0,744,18.
2008,California,0.93,59,6.,16.,7.,3.,7.,6.,10.,9.,-,0,694,65.
2007,Michigan,0.99,105,54.,34.,75.,68.,53.,42.,30.,-,-,0,351,175.
2006,California,0.97,49,43.,17.,47.,18.,-,-,-,-,-,0,175,224.
2004,Michigan,1.00,129,104.,19.,66.,79.,-,-,-,-,-,0,185,162.
2001,Michigan,1.00,108,61.,53.,30.,5.,-,-,-,-,-,0,254,69.
1998,Michigan,1.00,81,11.,7.,11.,12.,5.,14.,27.,15.,-,0,692,10.
1996,Michigan,0.99,68,22.,2.,16.,17.,24.,3.,23.,-,-,0,384,16.
1995,Michigan,0.99,69,4.,8.,10.,5.,2.,1.,9.,5.,18.,0,819,8.
1994,Michigan,0.96,58,25.,42.,40.,22.,9.,1.,5.,-,-,0,397,23.
1992,Michigan,1.00,10,10.,-,-,-,-,-,-,-,-,0,408,10.
