date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,United Kingdom,0.85,51,11.,46.,43.,39.,2.,1.,3.,12.,-,8,340,254.
2021,United Kingdom,0.85,32,12.,27.,24.,20.,4.,5.,6.,17.,-,0,342,286.
2019,United Kingdom,0.85,64,33.,25.,38.,24.,-,-,30.,13.,-,0,229,299.
2018,United Kingdom,0.88,70,14.,46.,37.,27.,9.,16.,20.,11.,20.,-4,468,222.
2017,United Kingdom,0.85,62,24.,52.,47.,32.,9.,15.,6.,-,-,-75,246,371.
2016,United Kingdom,0.98,106,82.,93.,84.,72.,45.,41.,46.,51.,-,-50,134,425.
2013,United Kingdom,0.97,83,55.,17.,72.,45.,-,-,-,-,-,0,177,311.
2012,United Kingdom,0.95,97,42.,23.,16.,28.,-,-,29.,38.,-,0,239,213.
2011,United Kingdom,0.95,77,20.,42.,37.,39.,33.,25.,26.,8.,1.,0,483,151.
2009,United Kingdom,0.96,78,61.,45.,51.,56.,-,-,41.,-,-,-7,166,228.
2007,Italy,0.90,20,16.,10.,14.,10.,20.,5.,9.,-,-,0,350,154.
2007,United Kingdom,0.97,69,27.,16.,39.,58.,29.,15.,30.,21.,6.,0,365,133.
2006,Italy,0.86,17,10.,1.,2.,6.,13.,14.,11.,11.,-,0,461,138.
2006,United Kingdom,0.93,58,32.,3.,56.,20.,35.,38.,26.,-,-,0,278,169.
2005,Italy,0.85,10,8.,10.,9.,7.,2.,6.,5.,-,-,0,343,165.
2005,United Kingdom,0.93,57,42.,54.,32.,41.,19.,39.,-,-,-,0,202,192.
2003,United Kingdom,0.86,34,30.,12.,34.,21.,-,-,-,-,-,0,182,122.
2002,United Kingdom,0.87,35,19.,17.,22.,27.,19.,3.,9.,16.,-,0,375,77.
2001,United Kingdom,0.86,23,15.,9.,6.,15.,13.,10.,15.,-,-,0,298,73.
