date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2012,United Kingdom,0.95,97,77.,65.,94.,61.,-,-,-,-,-,-1,127,409.
2009,United Kingdom,0.96,78,68.,49.,71.,71.,-,-,45.,-,-,-2,119,376.
2008,United Kingdom,0.95,72,54.,32.,61.,39.,-,-,-,-,-,0,154,342.
2007,California,0.95,59,58.,58.,24.,56.,-,-,-,-,-,0,89,312.
