date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,India,0.85,54,28.,40.,22.,28.,-,-,-,-,-,-10,136,494.
2018,India,0.85,54,37.,28.,30.,18.,-,-,-,-,-,-55,115,520.
