date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Michigan,0.93,89,36.,61.,38.,12.,27.,7.,25.,32.,-,0,434,112.
2019,Michigan,0.97,108,18.,104.,16.,45.,29.,10.,17.,13.,27.,0,596,100.
2017,Michigan,0.98,109,85.,97.,29.,86.,75.,77.,78.,83.,-,0,234,231.
2016,Michigan,0.98,114,51.,100.,80.,74.,47.,40.,79.,40.,49.,0,472,174.
2015,Michigan,0.95,108,85.,82.,82.,31.,-,-,-,-,-,0,190,215.
2014,Lincoln,0.94,66,21.,22.,1.,32.,14.,25.,27.,20.,25.,-50,543,111.
2014,Michigan,0.97,107,64.,19.,8.,38.,-,-,55.,83.,-,0,276,149.
2013,Michigan,0.97,104,14.,47.,57.,10.,40.,37.,14.,14.,33.,0,645,49.
2012,Michigan,0.98,104,20.,43.,23.,44.,34.,42.,24.,21.,33.,0,542,85.
2011,Michigan,0.97,97,37.,36.,8.,67.,32.,39.,14.,72.,-,0,398,116.
2010,Michigan,0.96,101,35.,54.,78.,41.,25.,52.,39.,37.,24.,0,443,104.
2009,California,0.93,45,16.,40.,34.,38.,16.,3.,16.,10.,-,0,512,101.
2009,Michigan,0.97,90,56.,90.,30.,75.,11.,10.,16.,-,-,0,262,111.
2009,Virginia,0.92,21,7.,21.,10.,21.,5.,2.,10.,5.,-,0,541,49.
2008,California,0.93,59,13.,1.,20.,31.,3.,11.,9.,14.,-,0,593,43.
2008,Michigan,1.00,104,26.,8.,28.,15.,47.,12.,37.,33.,-,0,504,45.
2007,California,0.95,59,12.,16.,31.,7.,11.,26.,28.,13.,-,0,618,39.
2007,Michigan,0.99,105,22.,20.,80.,38.,37.,48.,41.,23.,-,0,565,44.
2006,California,0.97,49,13.,26.,30.,18.,7.,9.,24.,9.,-,0,646,29.
2006,Michigan,0.99,118,25.,34.,45.,40.,77.,40.,59.,11.,-,0,586,36.
2005,Michigan,0.99,114,50.,11.,92.,43.,-,-,53.,39.,-,0,410,42.
2004,Michigan,1.00,129,12.,17.,22.,21.,33.,6.,39.,10.,-,0,721,15.
2003,Michigan,1.00,111,30.,5.,25.,43.,24.,56.,71.,26.,-,0,420,30.
2001,Michigan,1.00,108,10.,2.,43.,15.,65.,11.,23.,8.,-,0,706,4.
1999,Michigan,1.00,89,6.,14.,39.,16.,8.,4.,7.,8.,-,0,750,4.
1998,Michigan,1.00,81,6.,21.,7.,56.,16.,7.,23.,6.,-,0,730,5.
