date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Spain,0.85,15,11.,10.,8.,15.,7.,10.,-,-,-,0,213,398.
2022,United Kingdom,0.85,51,43.,51.,23.,28.,-,-,-,-,-,0,107,457.
2019,United Kingdom,0.85,64,46.,42.,60.,35.,-,-,-,42.,-,0,147,456.
2018,Spain,0.96,37,32.,30.,34.,36.,6.,-,-,-,-,0,124,449.
2018,United Kingdom,0.88,70,62.,67.,50.,16.,-,-,-,50.,-,-10,105,417.
2017,Spain,0.94,31,24.,19.,17.,21.,22.,25.,20.,-,-,0,195,337.
2017,United Kingdom,0.85,62,34.,5.,15.,24.,-,-,27.,38.,-,-25,206,309.
2016,Spain,0.97,36,20.,1.,12.,24.,19.,23.,20.,-,-,0,290,265.
2016,Italy,0.88,38,20.,18.,23.,8.,23.,13.,20.,14.,-,0,330,267.
2016,United Kingdom,0.98,106,56.,30.,58.,15.,-,-,-,-,-,-10,217,287.
2015,Spain,0.90,28,11.,15.,21.,21.,13.,16.,15.,10.,3.,0,352,266.
2015,United Kingdom,0.94,92,50.,59.,74.,51.,-,-,35.,31.,26.,-10,196,322.
2014,Spain,0.91,25,12.,2.,21.,14.,11.,11.,-,11.,-,0,298,314.
2014,United Kingdom,0.98,90,45.,34.,84.,40.,36.,31.,43.,44.,-,0,204,352.
2013,Spain,0.85,15,10.,8.,8.,11.,8.,5.,11.,-,-,0,309,365.
2013,United Kingdom,0.97,83,71.,79.,71.,78.,43.,28.,-,21.,-,0,122,438.
2012,Spain,0.85,16,15.,15.,15.,15.,15.,6.,-,-,-,0,195,434.
2012,United Kingdom,0.95,97,96.,89.,84.,-,-,-,-,-,-,-10,19,489.
2011,Austria,0.94,27,27.,27.,27.,19.,-,-,-,-,-,-50,44,454.
