date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2018,Japan,0.95,86,58.,29.,71.,53.,57.,34.,48.,62.,-,0,224,357.
2017,Japan,0.92,83,56.,27.,11.,55.,42.,62.,58.,47.,-,0,248,375.
2016,Japan,0.94,83,60.,45.,18.,53.,-,-,61.,-,-,0,132,417.
2015,Japan,0.95,75,61.,27.,34.,61.,-,-,-,-,-,0,115,324.
2014,Japan,0.93,75,38.,31.,6.,13.,24.,43.,45.,-,-,0,304,185.
2013,Japan,0.93,69,26.,20.,23.,43.,37.,37.,39.,23.,33.,-20,434,135.
2012,Japan,0.94,68,14.,13.,15.,35.,41.,13.,17.,20.,20.,0,569,89.
2011,Japan,0.95,65,39.,20.,40.,24.,31.,43.,31.,33.,-,0,290,138.
2010,Japan,0.93,63,11.,37.,16.,35.,17.,6.,11.,11.,24.,0,650,64.
2009,Japan,0.92,58,18.,31.,35.,26.,37.,27.,23.,15.,-,0,444,172.
2008,Japan,0.91,62,20.,40.,21.,33.,14.,13.,14.,-,-,0,349,249.
2007,Japan,0.92,58,58.,56.,-,-,-,-,-,-,-,0,11,360.
