date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Japan,0.96,87,50.,48.,36.,36.,52.,28.,38.,39.,40.,-20,310,340.
2018,Japan,0.95,86,65.,35.,76.,66.,45.,58.,56.,67.,-,0,161,462.
2017,Japan,0.92,83,76.,53.,69.,74.,-,-,-,-,-,0,89,498.
2015,Japan,0.95,75,56.,47.,49.,29.,-,-,-,-,-,0,124,336.
2014,Japan,0.93,75,41.,41.,22.,20.,45.,37.,37.,38.,-,0,281,226.
2013,Japan,0.93,69,41.,51.,32.,40.,-,-,53.,27.,11.,-20,341,158.
2012,Japan,0.94,68,25.,55.,41.,51.,25.,31.,33.,22.,6.,0,480,81.
2011,Japan,0.95,65,15.,51.,23.,30.,35.,13.,21.,14.,12.,0,574,67.
2010,Japan,0.93,63,21.,36.,29.,19.,28.,11.,26.,23.,22.,0,510,104.
2009,Japan,0.92,58,16.,19.,31.,34.,20.,20.,27.,12.,-,-35,474,137.
2008,Japan,0.91,62,25.,4.,27.,27.,23.,-,25.,-,-,0,293,146.
2007,Japan,0.92,58,23.,3.,3.,12.,-,-,14.,-,-,0,370,75.
2006,Japan,0.90,50,7.,8.,13.,12.,13.,9.,8.,2.,-,0,744,32.
2005,Japan,0.85,39,6.,23.,19.,5.,4.,6.,7.,11.,-,0,689,43.
2004,Japan,0.86,27,10.,15.,13.,8.,13.,10.,11.,8.,3.,0,436,67.
2003,Japan,0.85,15,7.,11.,10.,6.,2.,12.,11.,5.,-,0,520,74.
2001,Michigan,1.00,108,91.,106.,18.,88.,77.,58.,63.,-,-,0,161,101.
