date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Japan,0.96,87,8.,10.,45.,36.,16.,25.,24.,7.,26.,0,616,50.
2018,Japan,0.95,86,27.,22.,4.,32.,10.,11.,7.,49.,41.,0,539,41.
2017,Japan,0.92,83,5.,9.,4.,16.,17.,16.,10.,4.,36.,0,743,13.
2016,Japan,0.94,83,6.,13.,30.,53.,8.,28.,3.,3.,18.,0,683,21.
2015,Japan,0.95,75,6.,14.,23.,36.,2.,10.,1.,4.,14.,0,692,18.
2014,Japan,0.93,75,9.,11.,16.,39.,6.,4.,11.,13.,16.,0,666,32.
2013,Japan,0.93,69,7.,16.,18.,29.,7.,14.,19.,8.,21.,0,656,38.
2012,Japan,0.94,68,9.,25.,29.,22.,5.,18.,13.,6.,22.,0,674,64.
2011,Japan,0.95,65,23.,29.,55.,43.,27.,41.,36.,21.,11.,0,483,162.
2010,Japan,0.93,63,47.,42.,29.,48.,-,-,35.,-,-,0,185,329.
