date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Australia,0.90,13,6.,4.,1.,2.,2.,8.,3.,10.,-,0,502,82.
2018,Australia,0.91,18,3.,4.,3.,2.,11.,3.,3.,5.,7.,0,827,47.
2018,United Kingdom,0.88,70,32.,7.,48.,10.,-,-,25.,35.,-,-4,284,167.
2016,United Kingdom,0.98,106,10.,1.,43.,15.,-,-,17.,9.,16.,0,621,45.
2015,Australia,0.92,29,13.,3.,14.,5.,1.,2.,7.,20.,-,0,514,49.
2014,Australia,0.89,22,2.,7.,6.,2.,1.,2.,3.,2.,7.,0,881,14.
2014,United Kingdom,0.98,90,12.,35.,31.,13.,11.,12.,22.,14.,17.,0,542,38.
2012,Australia,0.88,21,2.,9.,16.,7.,1.,2.,2.,2.,-,0,773,23.
2011,Australia,0.87,23,3.,12.,21.,1.,3.,15.,3.,3.,13.,0,772,32.
2010,Australia,0.90,27,5.,22.,6.,6.,2.,7.,9.,5.,-,0,650,67.
2009,Australia,0.89,21,6.,6.,15.,4.,5.,9.,8.,7.,-,0,550,130.
2008,Australia,0.94,24,15.,17.,17.,13.,16.,14.,-,-,-,0,209,276.
