date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Alpe Adria,0.85,14,10.,12.,4.,7.,10.,9.,11.,-,-,-20,257,232.
2022,East,0.91,19,17.,12.,16.,15.,-,-,-,-,-,0,173,349.
2022,Czech Republic,0.85,18,14.,17.,3.,9.,-,13.,12.,-,-,0,244,362.
2021,East,0.91,23,20.,21.,4.,21.,19.,15.,13.,-,-,0,208,369.
2021,Czech Republic,0.90,19,13.,12.,4.,13.,12.,9.,10.,-,-,0,300,370.
2021,Netherlands,0.91,26,23.,21.,4.,14.,-,-,-,-,-,-30,128,425.
2019,Spain,0.94,28,23.,-,-,19.,17.,16.,13.,-,-,0,147,373.
2019,Germany,0.97,60,53.,56.,53.,46.,31.,-,35.,-,-,-30,166,327.
2019,East,0.93,25,18.,21.,11.,23.,17.,-,6.,-,-,0,265,261.
2018,East,0.92,28,19.,24.,27.,22.,14.,11.,10.,-,-,0,342,196.
2017,Germany,0.97,64,35.,61.,62.,62.,44.,32.,35.,16.,10.,20,327,172.
2017,United Kingdom,0.85,62,8.,25.,46.,9.,8.,6.,19.,8.,5.,-10,599,150.
2016,Germany,0.99,73,56.,70.,42.,48.,34.,-,36.,-,-,0,212,196.
2015,Czech Republic,0.88,22,13.,7.,3.,2.,4.,1.,2.,-,-,0,508,107.
2015,Hungary,0.90,37,8.,33.,37.,24.,11.,5.,11.,3.,9.,0,671,105.
2014,Germany,0.98,74,42.,33.,70.,15.,27.,25.,-,-,-,0,288,201.
2014,United Kingdom,0.98,90,23.,78.,44.,7.,17.,13.,9.,40.,-,0,378,179.
2013,Austria,0.97,39,25.,24.,39.,20.,26.,18.,12.,-,-,0,285,163.
2013,Germany,0.97,74,19.,57.,58.,36.,36.,28.,22.,13.,5.,0,608,107.
2013,United Kingdom,0.97,83,35.,54.,68.,17.,32.,-,20.,51.,-,0,336,185.
2012,Germany,0.98,76,43.,40.,75.,17.,21.,37.,21.,-,-,-5,332,155.
2012,Austria,0.95,37,10.,27.,35.,24.,6.,9.,6.,7.,17.,0,595,133.
2012,United Kingdom,0.95,97,31.,64.,67.,26.,19.,18.,21.,28.,-,-2,312,258.
2011,Italy,0.92,49,34.,48.,44.,36.,4.,8.,7.,28.,-,0,295,290.
2011,Germany,0.96,74,67.,-,70.,66.,49.,-,27.,-,-,-10,133,383.
2006,United Kingdom,0.93,58,31.,4.,39.,40.,33.,35.,29.,-,14.,0,282,148.
2005,United Kingdom,0.93,57,26.,7.,26.,43.,34.,36.,30.,13.,2.,0,378,113.
2004,United Kingdom,0.90,53,24.,6.,43.,13.,25.,34.,33.,-,4.,0,299,111.
2003,United Kingdom,0.86,34,20.,19.,3.,13.,15.,17.,13.,-,-,0,311,80.
2002,United Kingdom,0.87,35,12.,10.,8.,6.,16.,-,18.,10.,-,0,528,37.
