date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2018,Japan,0.95,86,74.,-,76.,48.,35.,26.,41.,65.,-,-140,87,383.
2017,Japan,0.92,83,55.,44.,34.,52.,38.,55.,42.,59.,-,0,255,216.
2016,Japan,0.94,83,16.,35.,38.,25.,18.,13.,23.,12.,28.,0,563,123.
2015,Japan,0.95,75,31.,37.,34.,15.,30.,12.,1.,32.,-,0,339,186.
2014,Japan,0.93,75,33.,16.,26.,50.,4.,21.,14.,45.,-,0,358,146.
2013,Japan,0.93,69,15.,15.,54.,34.,12.,32.,24.,15.,25.,0,563,57.
2012,Japan,0.94,68,16.,48.,6.,10.,37.,26.,32.,14.,25.,0,554,42.
2011,Japan,0.95,65,5.,18.,14.,21.,3.,8.,2.,9.,19.,0,737,20.
2010,Japan,0.93,63,12.,40.,52.,13.,3.,11.,14.,7.,31.,0,646,37.
2009,Japan,0.92,58,9.,20.,18.,11.,5.,7.,25.,13.,-,0,597,48.
2008,Japan,0.91,62,8.,34.,27.,13.,13.,6.,8.,7.,-,0,625,44.
2007,Japan,0.92,58,14.,42.,9.,10.,-,-,9.,16.,-,0,518,59.
2006,Japan,0.90,50,5.,11.,12.,6.,11.,4.,10.,8.,-,0,765,43.
2005,Japan,0.85,39,14.,9.,5.,6.,9.,1.,2.,-,-,0,496,63.
2004,Japan,0.86,27,5.,11.,8.,9.,6.,2.,6.,5.,6.,0,623,41.
2004,Michigan,1.00,129,37.,118.,91.,79.,58.,48.,74.,27.,-,0,424,50.
2003,Japan,0.85,15,5.,8.,4.,4.,5.,1.,3.,9.,-,0,557,37.
