date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Michigan,0.90,43,13.,27.,2.,8.,-,3.,12.,11.,15.,-10,562,89.
2019,Lincoln,0.92,76,26.,38.,24.,21.,8.,10.,15.,46.,-,0,439,160.
2018,Michigan,0.97,114,39.,18.,21.,46.,1.,20.,25.,70.,-,0,407,126.
2017,Lincoln,0.92,70,30.,47.,25.,6.,27.,-,-,31.,11.,0,458,111.
2016,Germany,0.99,73,29.,69.,54.,9.,26.,8.,23.,-,16.,0,387,70.
2016,Lincoln,0.92,69,3.,9.,26.,7.,6.,6.,10.,5.,10.,0,835,24.
2015,Germany,0.97,71,17.,33.,49.,34.,18.,22.,13.,21.,10.,0,483,67.
2015,Lincoln,0.94,64,22.,10.,23.,9.,9.,8.,4.,36.,-,0,489,51.
2014,Germany,0.98,74,9.,1.,57.,31.,7.,36.,12.,9.,29.,0,605,21.
2014,Lincoln,0.94,66,4.,20.,18.,8.,32.,9.,9.,3.,18.,0,819,11.
2014,Michigan,0.97,107,14.,28.,27.,15.,28.,22.,21.,14.,24.,0,648,25.
2013,Lincoln,0.93,60,6.,11.,38.,7.,8.,6.,8.,2.,16.,-20,812,22.
2012,Lincoln,0.94,65,7.,13.,7.,8.,9.,8.,17.,12.,6.,0,740,42.
2011,California,0.95,60,12.,31.,22.,8.,4.,16.,31.,11.,22.,0,571,104.
2011,Michigan,0.97,97,59.,21.,57.,63.,44.,27.,57.,68.,-,-10,280,175.
2010,California,0.94,56,35.,20.,41.,7.,-,-,32.,-,-,0,227,117.
2009,Germany,0.98,77,17.,50.,44.,16.,19.,21.,35.,11.,35.,0,639,33.
2009,California,0.93,45,19.,25.,12.,8.,4.,14.,10.,-,-,0,447,52.
2008,California,0.93,59,5.,23.,2.,17.,39.,1.,22.,1.,-,0,700,26.
2007,Italy,0.90,20,5.,4.,4.,5.,11.,4.,8.,5.,-,0,731,38.
2007,California,0.95,59,11.,3.,7.,12.,16.,17.,16.,14.,-,0,676,64.
2007,Michigan,0.99,105,55.,40.,93.,38.,24.,52.,51.,-,-,0,344,119.
2006,California,0.97,49,21.,33.,10.,12.,6.,24.,11.,-,-,0,422,89.
2004,Michigan,1.00,129,47.,72.,43.,48.,35.,65.,15.,-,-,0,377,56.
2003,Michigan,1.00,111,15.,55.,35.,15.,33.,27.,9.,27.,-,0,535,21.
2000,Michigan,0.99,94,3.,35.,38.,29.,16.,-,13.,3.,-,0,696,11.
1998,Michigan,1.00,81,36.,52.,38.,47.,9.,8.,6.,-,-,0,402,43.
1997,Michigan,0.98,66,54.,31.,-,30.,-,-,-,-,-,0,106,37.
1996,Michigan,0.99,68,9.,19.,26.,6.,13.,18.,20.,12.,-,0,594,15.
1995,Michigan,0.99,69,10.,3.,44.,6.,11.,34.,13.,11.,28.,0,662,22.
1994,Michigan,0.96,58,56.,2.,-,53.,-,-,-,-,-,0,113,52.
