date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Michigan,0.90,43,35.,33.,4.,33.,-,-,-,-,-,0,149,278.
2019,Lincoln,0.92,76,28.,45.,27.,69.,46.,18.,36.,19.,17.,0,427,250.
2018,Lincoln,0.93,66,57.,19.,43.,41.,-,-,-,-,-,-10,178,392.
2017,Lincoln,0.92,70,53.,5.,51.,41.,-,-,-,37.,29.,0,239,350.
2016,Lincoln,0.92,69,56.,20.,28.,55.,-,-,-,-,-,0,167,382.
2015,Lincoln,0.94,64,55.,12.,51.,50.,-,-,-,-,-,0,171,350.
2014,Lincoln,0.94,66,55.,18.,25.,56.,52.,49.,56.,56.,-,0,200,342.
2013,Lincoln,0.93,60,49.,56.,19.,39.,39.,27.,46.,49.,-,-10,284,319.
2012,Lincoln,0.94,65,48.,46.,20.,-,44.,35.,38.,30.,-,0,174,373.
2011,California,0.95,60,50.,35.,20.,48.,-,-,-,-,-,0,154,356.
2010,California,0.94,56,44.,5.,26.,51.,-,-,-,-,-,0,176,330.
2009,California,0.93,45,34.,25.,31.,27.,-,-,-,-,-,0,161,345.
2008,California,0.93,59,52.,53.,53.,47.,-,-,33.,-,-,0,142,327.
2003,Michigan,1.00,111,111.,109.,-,-,-,-,-,-,-,0,22,188.
2002,Michigan,0.99,121,99.,61.,103.,76.,-,-,-,-,-,0,157,141.
1995,Michigan,0.99,69,47.,49.,37.,65.,25.,42.,25.,42.,30.,0,215,54.
