date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Lincoln,0.92,76,12.,70.,34.,35.,6.,30.,7.,5.,25.,0,675,62.
2018,Lincoln,0.93,66,30.,64.,51.,25.,17.,19.,9.,36.,-,0,413,134.
2017,Lincoln,0.92,70,16.,11.,66.,16.,29.,36.,13.,13.,24.,0,611,115.
2016,Lincoln,0.92,69,36.,32.,26.,30.,24.,31.,35.,28.,-,0,334,196.
2015,Lincoln,0.94,64,31.,43.,56.,53.,38.,37.,43.,17.,26.,0,387,155.
2014,Lincoln,0.94,66,19.,56.,35.,32.,42.,38.,31.,19.,6.,0,560,135.
2013,Lincoln,0.93,60,41.,41.,41.,7.,-,-,21.,28.,22.,-50,338,242.
2012,Lincoln,0.94,65,34.,40.,28.,49.,12.,23.,34.,33.,-,0,286,281.
2011,California,0.95,60,44.,46.,44.,39.,-,-,-,28.,23.,0,200,328.
2010,California,0.94,56,48.,34.,48.,37.,-,-,-,-,-,0,149,355.
2007,California,0.95,59,16.,39.,37.,43.,26.,22.,30.,12.,-,0,512,102.
2005,Michigan,0.99,114,91.,21.,80.,99.,76.,83.,79.,-,-,0,211,128.
2004,Michigan,1.00,129,36.,16.,75.,79.,88.,69.,70.,29.,-,0,430,81.
2003,Michigan,1.00,111,89.,45.,83.,89.,-,-,66.,-,-,0,182,137.
2001,Michigan,1.00,108,84.,44.,82.,63.,75.,49.,66.,-,-,0,188,90.
1996,Michigan,0.99,68,10.,10.,30.,27.,19.,-,29.,8.,-,0,568,24.
1995,Michigan,0.99,69,49.,64.,27.,20.,-,-,-,32.,42.,0,193,58.
