date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2018,Michigan,0.97,114,79.,59.,5.,17.,-,-,75.,57.,49.,0,263,212.
2017,Michigan,0.98,109,41.,64.,32.,39.,80.,70.,46.,31.,41.,0,454,139.
2016,Lincoln,0.92,69,34.,53.,6.,12.,-,-,18.,-,-,0,344,180.
2015,Lincoln,0.94,64,10.,26.,2.,20.,35.,34.,18.,14.,13.,-10,620,127.
2015,Michigan,0.95,108,75.,33.,34.,31.,-,-,-,-,-,0,219,205.
2014,Lincoln,0.94,66,31.,55.,5.,8.,29.,34.,24.,33.,30.,0,474,139.
2014,Michigan,0.97,107,42.,70.,11.,15.,56.,57.,58.,48.,16.,0,403,139.
2013,Lincoln,0.93,60,18.,19.,5.,7.,34.,19.,20.,22.,13.,0,623,131.
2013,Michigan,0.97,104,60.,13.,4.,10.,68.,63.,66.,58.,-,0,308,222.
2012,Lincoln,0.94,65,33.,10.,10.,14.,30.,28.,41.,33.,-,0,309,215.
2012,Michigan,0.98,104,65.,18.,11.,11.,-,-,55.,54.,-,0,260,195.
2011,California,0.95,60,15.,3.,17.,8.,26.,21.,28.,19.,20.,0,515,144.
2011,Michigan,0.97,97,43.,24.,56.,15.,28.,56.,57.,31.,96.,0,358,203.
2010,California,0.94,56,36.,2.,9.,26.,-,-,-,-,-,0,222,240.
2010,Michigan,0.96,101,95.,49.,21.,-,-,-,-,-,-,0,133,205.
2009,Michigan,0.97,90,17.,1.,33.,12.,23.,29.,56.,19.,-,0,536,84.
2008,California,0.93,59,20.,9.,18.,4.,39.,-,23.,18.,-,0,448,136.
2007,Michigan,0.99,105,64.,25.,40.,68.,54.,53.,66.,-,-,0,307,171.
2006,Michigan,0.99,118,68.,44.,15.,40.,74.,40.,55.,-,-,0,272,147.
2005,Michigan,0.99,114,75.,30.,67.,43.,79.,83.,63.,-,-,0,268,124.
2004,Michigan,1.00,129,64.,45.,42.,21.,75.,82.,53.,-,-,0,325,122.
2003,Michigan,1.00,111,88.,51.,45.,71.,-,-,-,-,-,0,183,151.
2002,Michigan,0.99,121,109.,88.,108.,101.,-,-,-,-,-,0,126,156.
1999,Michigan,1.00,89,76.,12.,83.,83.,-,-,-,-,-,0,131,81.
1998,Michigan,1.00,81,58.,74.,37.,56.,44.,62.,61.,37.,-,0,259,57.
