date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Michigan,0.90,43,19.,2.,1.,11.,22.,4.,9.,28.,-,0,432,115.
2019,Lincoln,0.92,76,16.,39.,3.,9.,19.,11.,16.,20.,8.,-10,614,100.
2018,Lincoln,0.93,66,40.,56.,8.,11.,39.,8.,45.,38.,-,0,337,153.
2017,Lincoln,0.92,70,25.,24.,12.,4.,19.,7.,10.,40.,-,0,508,88.
2016,Lincoln,0.92,69,11.,29.,10.,8.,24.,23.,15.,14.,1.,0,659,46.
2015,Lincoln,0.94,64,19.,36.,7.,5.,42.,5.,25.,27.,8.,0,507,62.
2014,Lincoln,0.94,66,8.,23.,6.,6.,49.,11.,27.,7.,2.,0,741,35.
2013,Lincoln,0.93,60,22.,7.,32.,7.,41.,42.,41.,17.,2.,-90,537,90.
2012,Lincoln,0.94,65,15.,30.,3.,14.,15.,10.,31.,18.,20.,0,529,116.
2011,California,0.95,60,32.,37.,28.,8.,27.,10.,18.,48.,-,0,344,188.
2010,California,0.94,56,25.,39.,18.,7.,16.,9.,20.,-,-,0,371,181.
2009,California,0.93,45,29.,14.,26.,14.,-,-,26.,-,-,0,247,214.
2008,California,0.93,59,25.,19.,8.,17.,38.,10.,16.,-,-,0,354,185.
2007,California,0.95,59,45.,54.,19.,-,31.,38.,29.,-,-,0,209,230.
2005,Michigan,0.99,114,88.,100.,82.,99.,66.,83.,68.,-,-,0,221,162.
