date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Japan,0.96,87,34.,44.,63.,55.,38.,53.,25.,21.,25.,0,409,179.
2018,Japan,0.95,86,47.,24.,60.,38.,47.,58.,60.,39.,17.,0,376,217.
2017,Japan,0.92,83,42.,10.,72.,41.,35.,61.,33.,47.,16.,0,362,253.
2016,Japan,0.94,83,45.,41.,18.,42.,-,-,19.,45.,-,0,243,257.
2015,Japan,0.95,75,35.,21.,18.,22.,38.,14.,1.,42.,-,0,314,178.
2014,Japan,0.93,75,26.,71.,16.,34.,18.,13.,23.,26.,29.,-10,469,127.
2013,Japan,0.93,69,17.,68.,32.,29.,11.,5.,5.,4.,23.,0,543,131.
2012,Japan,0.94,68,36.,52.,36.,43.,7.,5.,2.,39.,-,0,351,170.
2011,Japan,0.95,65,36.,49.,40.,30.,17.,43.,10.,37.,-,0,327,145.
2010,Japan,0.93,63,15.,53.,44.,32.,4.,11.,9.,14.,26.,0,611,100.
2009,Japan,0.92,58,31.,27.,27.,40.,15.,30.,38.,28.,-,0,314,236.
2008,Japan,0.91,62,31.,43.,50.,33.,28.,22.,34.,20.,-,0,246,283.
2007,Japan,0.92,58,53.,53.,46.,51.,-,-,-,-,-,0,124,324.
