date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Czech Republic,0.88,33,20.,31.,12.,15.,19.,18.,10.,17.,-,0,396,209.
2019,Michigan,0.97,108,51.,32.,2.,19.,69.,41.,24.,75.,-,0,383,204.
2018,Michigan,0.97,114,71.,6.,44.,84.,78.,67.,33.,87.,-,0,284,230.
2017,Germany,0.97,64,42.,36.,39.,16.,38.,-,32.,-,-,0,295,189.
2017,Michigan,0.98,109,39.,14.,79.,18.,53.,35.,18.,69.,34.,0,465,135.
2016,Germany,0.99,73,30.,4.,20.,44.,49.,46.,50.,25.,24.,0,382,160.
2016,Canada,0.90,25,15.,1.,7.,15.,20.,14.,15.,10.,11.,0,516,168.
2016,Michigan,0.98,114,70.,12.,8.,74.,61.,60.,42.,79.,-,0,327,197.
2015,Germany,0.97,71,39.,6.,16.,34.,43.,45.,40.,-,14.,0,308,172.
2015,Canada,0.87,18,8.,1.,2.,13.,11.,14.,15.,10.,6.,0,615,132.
2015,Michigan,0.95,108,42.,11.,38.,31.,61.,48.,67.,35.,20.,0,427,210.
2014,Michigan,0.97,107,75.,1.,26.,38.,80.,-,71.,63.,-,0,249,297.
2012,Germany,0.98,76,66.,24.,41.,31.,60.,54.,-,-,-,-25,184,262.
2012,Michigan,0.98,104,77.,1.,76.,28.,-,-,-,-,-,0,212,183.
2011,Germany,0.96,74,15.,12.,13.,15.,48.,1.,36.,21.,12.,-5,544,104.
2011,Michigan,0.97,97,47.,4.,47.,37.,66.,17.,42.,56.,-,0,333,152.
2010,Germany,0.97,75,33.,25.,31.,18.,42.,5.,35.,28.,-,0,408,100.
2009,Germany,0.98,77,41.,15.,10.,10.,54.,47.,43.,-,-,0,363,88.
2009,Michigan,0.97,90,35.,46.,18.,12.,47.,22.,17.,-,-,0,390,32.
2008,Germany,0.94,77,10.,4.,14.,6.,24.,23.,18.,11.,22.,0,779,5.
2008,Michigan,1.00,104,11.,20.,14.,5.,13.,35.,23.,12.,-,0,731,6.
2007,United Kingdom,0.97,69,5.,5.,11.,4.,16.,7.,17.,6.,16.,0,786,6.
2007,Michigan,0.99,105,5.,13.,36.,14.,29.,5.,17.,3.,-,0,778,6.
2006,United Kingdom,0.93,58,1.,4.,16.,5.,4.,20.,4.,2.,21.,0,844,6.
2006,Michigan,0.99,118,11.,19.,8.,16.,21.,40.,33.,5.,-,0,709,8.
2005,United Kingdom,0.93,57,1.,12.,21.,6.,13.,3.,1.,1.,10.,0,884,9.
2005,Michigan,0.99,114,51.,94.,28.,14.,23.,35.,25.,-,-,0,394,31.
2004,United Kingdom,0.90,53,2.,25.,2.,12.,24.,4.,3.,2.,10.,0,795,11.
2004,Michigan,1.00,129,21.,80.,30.,4.,87.,5.,49.,22.,-,0,592,16.
2003,United Kingdom,0.86,34,1.,5.,21.,3.,1.,2.,2.,1.,6.,0,885,12.
2003,Michigan,1.00,111,43.,20.,40.,14.,15.,35.,56.,-,-,0,358,31.
2002,United Kingdom,0.87,35,2.,5.,6.,3.,4.,4.,1.,1.,-,0,918,11.
2002,Michigan,0.99,121,30.,43.,12.,18.,2.,9.,9.,-,-,0,444,38.
2001,Michigan,1.00,108,40.,45.,53.,15.,15.,43.,38.,-,-,0,345,35.
2000,Michigan,0.99,94,8.,51.,34.,8.,6.,-,17.,12.,-,0,610,23.
1999,Michigan,1.00,89,54.,58.,28.,30.,17.,52.,-,-,-,0,249,64.
