date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Japan,0.96,87,23.,5.,49.,33.,27.,34.,40.,27.,23.,0,472,178.
2018,Japan,0.95,86,57.,7.,76.,41.,33.,-,57.,63.,-,0,229,213.
2016,Japan,0.94,83,7.,2.,25.,13.,25.,16.,20.,11.,9.,0,669,16.
2015,Japan,0.95,75,4.,1.,1.,5.,16.,7.,1.,18.,6.,-10,720,8.
2014,Japan,0.93,75,3.,1.,12.,4.,10.,9.,13.,10.,6.,0,800,6.
2013,Japan,0.93,69,3.,1.,4.,5.,14.,10.,9.,6.,14.,0,768,18.
2012,Japan,0.94,68,3.,7.,22.,9.,26.,10.,7.,4.,12.,0,767,31.
2011,Japan,0.95,65,17.,34.,6.,25.,12.,21.,25.,22.,23.,0,553,92.
2010,Japan,0.93,63,24.,24.,19.,32.,23.,11.,41.,27.,27.,0,460,139.
2009,Japan,0.92,58,25.,22.,13.,22.,20.,21.,13.,-,-,0,347,165.
2008,Japan,0.91,62,13.,12.,16.,11.,22.,21.,26.,15.,-,0,459,141.
2007,Japan,0.92,58,34.,26.,17.,30.,15.,11.,33.,-,-,0,288,224.
2006,Japan,0.90,50,34.,36.,34.,20.,18.,14.,30.,-,-,0,239,256.
2005,Japan,0.85,39,35.,27.,-,35.,-,-,-,-,-,0,117,253.
2004,Japan,0.86,27,24.,20.,27.,23.,-,-,-,-,-,0,90,227.
2003,Japan,0.85,15,14.,15.,14.,13.,12.,12.,-,7.,-,0,180,175.
