date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2022,Germany,0.90,26,11.,19.,18.,15.,12.,13.,13.,5.,5.,0,274,289.
2021,East,0.91,23,18.,18.,15.,17.,14.,18.,13.,-,-,0,236,377.
2019,Austria,0.95,34,29.,25.,30.,31.,16.,13.,15.,-,-,-60,188,427.
2018,Germany,0.97,57,54.,50.,53.,54.,41.,-,42.,-,-,-28,115,416.
2016,United Kingdom,0.98,106,44.,64.,46.,50.,22.,36.,34.,41.,-,-10,290,294.
2015,Germany,0.97,71,61.,36.,52.,70.,42.,-,40.,-,-,0,170,379.
2012,United Kingdom,0.95,97,25.,73.,85.,71.,40.,24.,24.,15.,18.,-1,377,222.
2010,United Kingdom,0.97,72,50.,58.,59.,56.,17.,40.,35.,-,-,-13,157,219.
2008,Germany,0.94,77,25.,31.,67.,44.,14.,30.,33.,25.,28.,0,567,140.
2008,United Kingdom,0.95,72,29.,52.,15.,36.,14.,30.,20.,-,-,0,310,249.
2007,Germany,0.95,53,47.,53.,34.,21.,-,-,-,-,-,0,125,314.
2006,Australia,0.93,27,22.,19.,17.,21.,-,-,-,-,-,0,154,300.
2006,United Kingdom,0.93,58,56.,58.,54.,53.,-,-,-,-,-,0,39,300.
