date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2019,Japan,0.96,87,32.,9.,11.,12.,39.,11.,8.,53.,-,0,417,66.
2018,Japan,0.95,86,6.,5.,4.,8.,31.,7.,13.,21.,22.,0,740,27.
2017,Japan,0.92,83,8.,4.,31.,18.,30.,26.,4.,7.,10.,0,729,75.
2016,Japan,0.94,83,42.,4.,25.,28.,-,28.,50.,45.,-,0,250,178.
2015,Japan,0.95,75,12.,11.,25.,32.,23.,20.,1.,9.,10.,0,612,69.
2014,Japan,0.93,75,25.,4.,26.,37.,44.,43.,38.,27.,8.,0,492,106.
2013,Japan,0.93,69,28.,10.,3.,18.,32.,33.,37.,41.,4.,0,410,109.
2012,Japan,0.94,68,6.,11.,15.,33.,31.,11.,10.,7.,2.,0,730,69.
2011,Japan,0.95,65,41.,2.,48.,25.,39.,17.,41.,40.,-,0,288,248.
2010,Japan,0.93,63,39.,2.,13.,17.,40.,11.,44.,-,-,0,255,268.
2009,Japan,0.92,58,38.,9.,5.,17.,35.,10.,26.,-,-,-70,262,251.
2008,Japan,0.91,62,37.,18.,5.,27.,-,-,-,-,-,0,228,252.
2007,Japan,0.92,58,36.,15.,36.,20.,27.,20.,32.,-,-,0,262,227.
2006,Japan,0.90,50,37.,13.,30.,28.,-,-,-,-,-,0,201,229.
2005,Japan,0.85,39,27.,5.,4.,10.,-,-,-,-,-,0,270,171.
2004,Japan,0.86,27,15.,1.,7.,15.,-,14.,-,-,-,0,221,136.
2003,Japan,0.85,15,8.,10.,9.,11.,12.,11.,13.,8.,-,0,400,84.
