date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2013,Australia,0.87,23,9.,10.,6.,7.,8.,14.,19.,10.,-,0,552,96.
2012,Australia,0.88,21,8.,10.,19.,16.,4.,15.,12.,7.,-,0,595,96.
2011,Australia,0.87,23,17.,16.,18.,12.,6.,10.,7.,16.,-,0,381,193.
2010,Australia,0.90,27,9.,24.,5.,8.,5.,11.,11.,9.,-,0,458,196.
2009,Australia,0.89,21,20.,21.,11.,18.,11.,10.,10.,-,-,0,114,393.
2007,Australia,0.92,22,21.,21.,21.,21.,-,-,-,-,-,0,137,311.
2005,Australia,0.92,24,21.,14.,19.,20.,-,-,-,-,-,0,175,190.
2004,Australia,0.93,22,13.,14.,19.,15.,-,-,-,9.,-,0,339,149.
2003,Australia,0.95,21,20.,20.,20.,20.,-,-,18.,-,-,0,146,191.
2002,Australia,0.87,18,18.,18.,-,-,-,-,-,-,-,0,15,173.
2001,Australia,0.85,18,12.,12.,15.,15.,-,-,-,12.,10.,0,277,86.
