date,event,C,teams,place,cost,bp,ed,acc,sp,autox,endu,fuel,pen,total,wrl
2011,Italy,0.92,49,14.,13.,5.,4.,9.,10.,13.,33.,-,0,487,87.
2011,Hungary,0.89,28,12.,23.,11.,6.,6.,6.,5.,-,14.,0,500,70.
2011,Germany,0.96,74,33.,33.,32.,23.,12.,45.,18.,-,-,0,357,44.
2010,Italy,0.94,41,6.,14.,10.,9.,12.,7.,9.,6.,-,0,791,15.
2010,Austria,0.93,27,6.,11.,2.,5.,9.,6.,8.,6.,23.,0,742,17.
2010,Germany,0.97,75,9.,45.,1.,9.,20.,36.,26.,7.,15.,0,684,22.
2009,Germany,0.98,77,13.,53.,43.,34.,18.,14.,17.,14.,11.,0,651,54.
2009,United Kingdom,0.96,78,22.,58.,33.,13.,24.,16.,26.,32.,-,-5,518,118.
2008,Germany,0.94,77,40.,17.,55.,30.,38.,4.,35.,-,-,0,376,188.
2007,Germany,0.95,53,42.,33.,6.,37.,38.,39.,40.,-,-,0,197,249.
