Rank,University,Lowest Place,#
1,Oxford Brookes University,1st,4
2,University of Bath,1st,2
3,Coventry University,1st,1
4,Liverpool John Moores University,1st,1
5,University of Leeds,1st,1
6,University of the West of England,1st,1
7,University Of Hertfordshire,2nd,2
8,Cardiff University Wales,2nd,1
9,Queen's University Belfast,2nd,1
10,University of Birmingham,2nd,1
11,University of Glasgow,2nd,1
12,Brunel University London,3rd,1
13,Staffordshire University,3rd,1
14,University of Southampton,3rd,1
15,University of Ulster,3rd,1
16,University of Huddersfield,4th,1
17,Loughborough University,5th,5
18,Imperial College London,5th,1
19,De Montfort University,6th,1
20,University of Wales Trinity Saint David,7th,1
21,University of Central Lancashire,8th,1
22,University of Strathclyde,8th,1
23,Kingston University,9th,1
24,University of Sheffield,9th,1
25,Heriot-Watt University,10th,1
26,Swansea University,11th,1
27,Manchester Metropolitan University,12th,1
28,Sheffield Hallam University,12th,1
29,University of Portsmouth,12th,1
30,Lancaster  University,13th,1
31,University of Hull,14th,1
32,University of Liverpool,15th,1
33,University of Nottingham,15th,1
34,University of Warwick,15th,1
35,University of Surrey,16th,1
36,University of Wolverhampton,16th,1
37,University of Aberdeen,17th,1
38,Aston University,24th,1
39,University of Cambridge,24th,1
40,University of Edinburgh,24th,1
41,University of Manchester,24th,1
42,University of Sunderland,24th,1
43,University of Exeter,25th,1
44,University of Sussex,25th,1
45,Birmingham City University,29th,1
46,University of the West of Scotland,33rd,1
47,Newcastle University,35th,1
48,University of Dundee,37th,1
49,City University London,38th,1
50,London South Bank University,N/A,0
51,North East Wales Institute of Higher Education,N/A,0
52,Queen Mary University of London,N/A,0
53,University College London,N/A,0
54,University of Brighton,N/A,0
55,University of Derby,N/A,0
56,University of Leicester,N/A,0
57,University of Northampton,N/A,0
58,University of Salford,N/A,0
