Rank,University,Lowest Place,#
1,University of Bath,1st,3
2,Oxford Brookes University,1st,2
3,Cardiff University Wales,1st,1
4,Queen's University Belfast,1st,1
5,University of Aberdeen,1st,1
6,University Of Hertfordshire,1st,1
7,University of Leeds,1st,1
8,University of Liverpool,1st,1
9,University of Sussex,1st,1
10,University of the West of England,1st,1
11,University of Wales Trinity Saint David,1st,1
12,Loughborough University,2nd,2
13,Brunel University London,2nd,1
14,Coventry University,2nd,1
15,University of Glasgow,2nd,1
16,University of Warwick,2nd,1
17,Heriot-Watt University,3rd,1
18,University of Birmingham,3rd,1
19,University of Southampton,4th,2
20,Lancaster  University,4th,1
21,Staffordshire University,4th,1
22,Swansea University,4th,1
23,University of Huddersfield,4th,1
24,Newcastle University,5th,1
25,University of Sheffield,5th,1
26,Sheffield Hallam University,6th,1
27,University of Strathclyde,6th,1
28,Aston University,8th,1
29,University of Edinburgh,8th,1
30,University of Cambridge,9th,1
31,University of Manchester,10th,2
32,University of Portsmouth,10th,2
33,Liverpool John Moores University,10th,1
34,University of Ulster,10th,1
35,Birmingham City University,11th,1
36,University of Exeter,11th,1
37,University of Surrey,13th,1
38,City University London,14th,1
39,Imperial College London,17th,1
40,University of Salford,17th,1
41,De Montfort University,19th,1
42,University College London,20th,1
43,University of the West of Scotland,20th,1
44,University of Wolverhampton,20th,1
45,London South Bank University,22nd,1
46,Manchester Metropolitan University,24th,1
47,University of Hull,25th,1
48,University of Sunderland,25th,1
49,Kingston University,26th,1
50,University of Central Lancashire,28th,1
51,Queen Mary University of London,29th,1
52,University of Leicester,31st,1
53,University of Nottingham,35th,1
54,University of Dundee,59th,1
55,North East Wales Institute of Higher Education,62nd,1
56,University of Northampton,71st,1
57,University of Derby,77th,1
58,University of Brighton,N/A,0
