Rank,University,Points
1,University of Bath,21549
2,Oxford Brookes University,20697
3,University Of Hertfordshire,19098
4,Loughborough University,14479
5,University of Birmingham,12948
6,Cardiff University Wales,11198
7,Brunel University London,11182
8,University of Strathclyde,10784
9,University of Leeds,10081
10,University of Huddersfield,9070
11,Coventry University,6275
12,Queen's University Belfast,6092
13,University of Liverpool,5952
14,Swansea University,5447
15,Lancaster  University,4580
16,University of Aberdeen,4546
17,University of Wales Trinity Saint David,4443
18,Liverpool John Moores University,4418
19,University of Sheffield,4338
20,University of the West of England,4224
21,University of Southampton,3981
22,University of Warwick,3769
23,Aston University,3318
24,University of Glasgow,3165
25,University of Central Lancashire,3147
26,University of Sussex,2998
27,University of Cambridge,2943
28,Manchester Metropolitan University,2748
29,Sheffield Hallam University,2596
30,University of Manchester,2550
31,University of Ulster,2547
32,University of Surrey,2425
33,University of Portsmouth,2317
34,Heriot-Watt University,2274
35,Staffordshire University,2159
36,De Montfort University,1885
37,City University London,1750
38,University of Wolverhampton,1607
39,Birmingham City University,1517
40,University of Sunderland,1453
41,University of Dundee,1126
42,Imperial College London,1065
43,University of Exeter,1030
44,University of Edinburgh,1010
45,University College London,902
46,University of Nottingham,894
47,University of Hull,871
48,Kingston University,780
49,University of Leicester,623
50,University of Salford,543
51,Newcastle University,538
52,University of the West of Scotland,501
53,Queen Mary University of London,447
54,London South Bank University,299
55,University of Derby,124
56,University of Brighton,122
57,University of Northampton,90
58,North East Wales Institute of Higher Education,68
