Rank,University,Points
1,University of Bath,2480.26
2,Oxford Brookes University,2435.93
3,University Of Hertfordshire,1906.25
4,Loughborough University,1798.53
5,University of Birmingham,1797.57
6,University of Huddersfield,1686.35
7,Brunel University London,1676.71
8,Cardiff University Wales,1537.3
9,University of Strathclyde,1497.52
10,University of Leeds,1452.28
11,University of Liverpool,1273.27
12,Coventry University,897.67
13,University of Cambridge,892.43
14,Swansea University,869.65
15,University of Warwick,816.29
16,Aston University,815.0
17,University of Southampton,778.11
18,University of Sheffield,762.1
19,Queen's University Belfast,753.42
20,Sheffield Hallam University,746.98
21,Lancaster  University,743.4
22,University of Aberdeen,741.8
23,University of Sussex,735.33
24,University of the West of England,646.8
25,Liverpool John Moores University,591.82
26,University of Ulster,577.9
27,University of Glasgow,556.34
28,University of Portsmouth,549.97
29,University of Wales Trinity Saint David,511.67
30,University of Manchester,510.84
31,University of Sunderland,458.06
32,City University London,450.76
33,Heriot-Watt University,440.8
34,Birmingham City University,387.7
35,University of Surrey,374.1
36,University of Exeter,372.6
37,Manchester Metropolitan University,328.4
38,University of Edinburgh,320.2
39,De Montfort University,280.9
40,University College London,279.74
41,Staffordshire University,276.5
42,University of Hull,259.8
43,University of Central Lancashire,248.67
44,University of Wolverhampton,225.7
45,University of Salford,201.0
46,University of Dundee,180.6
47,Kingston University,157.2
48,Queen Mary University of London,155.4
49,Newcastle University,154.69
50,Imperial College London,147.7
51,University of Nottingham,138.47
52,London South Bank University,102.4
53,University of the West of Scotland,94.07
54,University of Northampton,64.1
55,University of Leicester,61.9
56,University of Derby,34.2
57,North East Wales Institute of Higher Education,15.25
58,University of Brighton,0.0
