Rank,University,Lowest Place,#
1,University Of Hertfordshire,1st,2
2,Oxford Brookes University,1st,1
3,University of Leeds,1st,1
4,University of Sheffield,1st,1
5,University of Bath,2nd,4
6,Queen's University Belfast,2nd,1
7,University of Strathclyde,2nd,1
8,University of Glasgow,3rd,1
9,Brunel University London,4th,1
10,University of Birmingham,4th,1
11,University of Southampton,5th,1
12,Cardiff University Wales,6th,1
13,Coventry University,6th,1
14,Lancaster  University,6th,1
15,University of Sussex,6th,1
16,University of Warwick,6th,1
17,Loughborough University,7th,1
18,Staffordshire University,7th,1
19,Liverpool John Moores University,8th,1
20,University of Huddersfield,8th,1
21,University of Liverpool,10th,1
22,University of Ulster,10th,1
23,University of Portsmouth,11th,1
24,University of Wolverhampton,11th,1
25,Swansea University,12th,1
26,University of the West of England,12th,1
27,University of Wales Trinity Saint David,12th,1
28,University of Aberdeen,13th,1
29,University of Central Lancashire,13th,1
30,Birmingham City University,14th,1
31,Heriot-Watt University,14th,1
32,Manchester Metropolitan University,16th,1
33,Sheffield Hallam University,16th,1
34,University of Cambridge,16th,1
35,Aston University,17th,1
36,De Montfort University,17th,1
37,University of Edinburgh,17th,1
38,University of the West of Scotland,17th,1
39,University of Exeter,21st,1
40,Kingston University,22nd,1
41,City University London,23rd,1
42,University of Manchester,23rd,1
43,University of Salford,23rd,1
44,University of Leicester,25th,1
45,University of Hull,27th,1
46,Newcastle University,29th,1
47,Imperial College London,31st,1
48,University of Surrey,31st,1
49,London South Bank University,37th,1
50,University College London,40th,1
51,University of Brighton,42nd,1
52,University of Dundee,43rd,1
53,University of Sunderland,44th,1
54,University of Nottingham,45th,1
55,Queen Mary University of London,50th,1
56,University of Derby,51st,1
57,University of Northampton,86th,1
58,North East Wales Institute of Higher Education,N/A,0
