Rank,University,Points
1,Oxford Brookes University,83.35
2,University of Bath,70.83
3,University Of Hertfordshire,65.72
4,Loughborough University,60.06
5,University of Wales Trinity Saint David,59.23
6,University of Birmingham,57.36
7,Cardiff University Wales,55.15
8,Queen's University Belfast,53.12
9,Kingston University,52.2
10,University of Leeds,49.74
11,Coventry University,43.34
12,University of the West of England,40.84
13,University of the West of Scotland,40.75
14,University of Glasgow,38.21
15,University of Strathclyde,38.21
16,Liverpool John Moores University,37.86
17,Staffordshire University,37.38
18,University of Surrey,36.19
19,University of Sheffield,35.73
20,Lancaster  University,32.78
21,University of Aberdeen,32.04
22,Brunel University London,31.74
23,University of Huddersfield,31.64
24,University of Southampton,28.62
25,Imperial College London,28.48
26,Swansea University,28.24
27,University of Central Lancashire,27.37
28,University of Wolverhampton,26.25
29,Heriot-Watt University,23.85
30,University of Dundee,21.85
31,Manchester Metropolitan University,18.47
32,University College London,17.81
33,University of Liverpool,17.25
34,University of Sussex,15.15
35,University of Manchester,14.15
36,University of Ulster,12.38
37,De Montfort University,11.8
38,University of Warwick,11.25
39,Sheffield Hallam University,11.07
40,Aston University,10.33
41,University of Hull,8.7
42,University of Nottingham,8.54
43,Birmingham City University,8.46
44,University of Portsmouth,5.49
45,Newcastle University,5.0
46,University of Sunderland,3.29
47,City University London,3.03
48,University of Exeter,2.79
49,University of Edinburgh,2.0
50,University of Cambridge,1.83
51,London South Bank University,0.0
52,North East Wales Institute of Higher Education,0.0
53,Queen Mary University of London,0.0
54,University of Brighton,0.0
55,University of Derby,0.0
56,University of Leicester,0.0
57,University of Northampton,0.0
58,University of Salford,0.0
