Rank,University,Points
1,Tongji University,732.95
2,Harbin Institute of Technology at Weihai,338.3
3,Hunan University,228.88
4,Xiamen University of Technology,224.08
5,Jilin University,171.63
6,Hubei University of Automotive Technology,170.84
7,Shanghai Jiao Tong University,104.99
8,Beijing Institute of Technology,94.94
9,Guangxi University of Science and Technology,77.52
10,Tsinghua University,56.8
11,Liaoning University of Technology,52.52
12,Zhejiang University City College,42.83
