Rank,University,Lowest Place,#
1,Tongji University,3rd,1
2,Xiamen University of Technology,6th,1
3,Jilin University,10th,1
4,Beijing Institute of Technology,14th,1
5,Harbin Institute of Technology at Weihai,22nd,1
6,Hunan University,25th,1
7,Tsinghua University,25th,1
8,Shanghai Jiao Tong University,33rd,1
9,Hubei University of Automotive Technology,54th,1
10,Guangxi University of Science and Technology,55th,1
11,Zhejiang University City College,79th,1
12,Liaoning University of Technology,N/A,0
