Rank,University,Lowest Place,#
1,Beijing Institute of Technology,1st,1
2,Tongji University,1st,1
3,Jilin University,2nd,1
4,Liaoning University of Technology,3rd,1
5,Hubei University of Automotive Technology,6th,1
6,Hunan University,15th,1
7,Guangxi University of Science and Technology,16th,1
8,Harbin Institute of Technology at Weihai,16th,1
9,Xiamen University of Technology,29th,1
10,Zhejiang University City College,41st,1
11,Shanghai Jiao Tong University,N/A,0
12,Tsinghua University,N/A,0
