Rank,University,Lowest Place,#
1,Harbin Institute of Technology at Weihai,3rd,1
2,Tongji University,4th,1
3,Hubei University of Automotive Technology,21st,1
4,Beijing Institute of Technology,28th,1
5,Xiamen University of Technology,28th,1
6,Hunan University,31st,1
7,Shanghai Jiao Tong University,31st,1
8,Jilin University,40th,1
9,Guangxi University of Science and Technology,59th,1
10,Liaoning University of Technology,61st,1
11,Tsinghua University,71st,1
12,Zhejiang University City College,73rd,1
