Rank,University,Lowest Place,#
1,Hunan University,4th,1
2,Xiamen University of Technology,6th,1
3,Tsinghua University,9th,1
4,Harbin Institute of Technology at Weihai,11th,1
5,Tongji University,24th,1
6,Jilin University,48th,1
7,Shanghai Jiao Tong University,55th,1
8,Hubei University of Automotive Technology,57th,1
9,Zhejiang University City College,58th,1
10,Guangxi University of Science and Technology,60th,1
11,Beijing Institute of Technology,62nd,1
12,Liaoning University of Technology,64th,1
