Rank,University,Lowest Place,#
1,University of Thessaly,3rd,1
2,Aristotle University of Thessaloniki,4th,1
3,National Technical University of Athens,4th,1
4,Democritus University of Thrace,5th,1
5,University of Patras,35th,1
6,Technological Educational Institute of Western Macedonia,N/A,0
