Rank,University,Lowest Place,#
1,Togliatti State University,3rd,1
2,Moscow Polytechnic University,7th,1
3,Peoples' Friendship University of Russia,9th,1
4,Bauman Moscow State Technical University,10th,1
5,Ural State University of Railway Transport,11th,2
6,Cherepovets State University,20th,1
7,Belgorod state technological university named after V. G. Shukhov,21st,1
8,Tyumen Industrial University,25th,1
9,Ufa State Aviation Technical University,26th,1
10,Nizhny Novgorod State Technical University,27th,1
11,Moscow State Automobile & Road Technical University - MADI,28th,1
12,Peter the Great St. Petersburg Polytechnic University,58th,1
