Rank,University,Lowest Place,#
1,Togliatti State University,9th,1
2,Moscow Polytechnic University,10th,1
3,Bauman Moscow State Technical University,15th,1
4,Peoples' Friendship University of Russia,18th,1
5,Belgorod state technological university named after V. G. Shukhov,20th,1
6,Nizhny Novgorod State Technical University,20th,1
7,Ural State University of Railway Transport,29th,1
8,Cherepovets State University,N/A,0
9,Moscow State Automobile & Road Technical University - MADI,N/A,0
10,Peter the Great St. Petersburg Polytechnic University,N/A,0
11,Tyumen Industrial University,N/A,0
12,Ufa State Aviation Technical University,N/A,0
